xflr5 v6.61

Plane name :, Main Aircraft
Polar name :, LoadCase1Extendedalpha
Freestream speed :, 130.7 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -7.000,     0.000,  -0.194241,   0.001416,   0.006468,   0.007885,  -0.000000,  -0.000000,   0.087172,   0.000000,   0.000000,  130.7000,    3.8393
   -6.500,     0.000,  -0.155941,   0.001004,   0.006440,   0.007444,  -0.000000,  -0.000000,   0.047601,   0.000000,   0.000000,  130.7000,    2.6058
   -6.000,     0.000,  -0.117615,   0.000673,   0.006419,   0.007093,  -0.000000,  -0.000000,   0.007865,   0.000000,   0.000000,  130.7000,    0.5690
   -5.500,     0.000,  -0.079268,   0.000424,   0.006402,   0.006826,  -0.000000,  -0.000000,  -0.032029,   0.000000,   0.000000,  130.7000,   -3.4380
   -5.000,     0.000,  -0.040904,   0.000258,   0.006374,   0.006632,  -0.000000,  -0.000000,  -0.072068,   0.000000,   0.000000,  130.7000,  -14.9603
   -4.500,     0.000,  -0.002529,   0.000173,   0.006335,   0.006508,  -0.000000,  -0.000000,  -0.112244,   0.000000,   0.000000,  130.7000, -376.1350
   -4.000,     0.000,   0.035852,   0.000171,   0.006331,   0.006502,  -0.000000,  -0.000000,  -0.152532,   0.000000,   0.000000,  130.7000,   35.9985
   -3.500,     0.000,   0.074233,   0.000252,   0.006326,   0.006578,   0.000000,   0.000000,  -0.192928,  -0.000000,  -0.000000,  130.7000,   21.9552
   -3.000,     0.000,   0.112611,   0.000416,   0.006321,   0.006737,   0.000000,   0.000000,  -0.233421,  -0.000000,  -0.000000,  130.7000,   17.4839
   -2.500,     0.000,   0.150979,   0.000662,   0.006315,   0.006976,   0.000000,   0.000000,  -0.273997,  -0.000000,  -0.000000,  130.7000,   15.2856
   -2.000,     0.000,   0.189333,   0.000991,   0.006318,   0.007309,   0.000000,   0.000000,  -0.314643,  -0.000000,  -0.000000,  130.7000,   13.9783
   -1.500,     0.000,   0.227667,   0.001402,   0.006322,   0.007725,   0.000000,   0.000000,  -0.355348,  -0.000000,  -0.000000,  130.7000,   13.1117
   -1.000,     0.000,   0.265977,   0.001896,   0.006326,   0.008222,   0.000000,   0.000000,  -0.396099,  -0.000000,  -0.000000,  130.7000,   12.4951
   -0.500,     0.000,   0.304258,   0.002472,   0.006336,   0.008808,   0.000000,   0.000000,  -0.436884,  -0.000000,  -0.000000,  130.7000,   12.0342
    0.000,     0.000,   0.342504,   0.003130,   0.006350,   0.009480,   0.000000,   0.000000,  -0.477691,  -0.000000,  -0.000000,  130.7000,   11.6766
    0.500,     0.000,   0.380710,   0.003869,   0.006373,   0.010242,   0.000000,   0.000000,  -0.518506,  -0.000000,  -0.000000,  130.7000,   11.3913
    1.000,     0.000,   0.418871,   0.004689,   0.006397,   0.011086,   0.000000,   0.000000,  -0.559318,  -0.000000,  -0.000000,  130.7000,   11.1584
    1.500,     0.000,   0.456982,   0.005589,   0.006416,   0.012006,   0.000000,   0.000000,  -0.600116,  -0.000000,  -0.000000,  130.7000,   10.9648
    2.000,     0.000,   0.495039,   0.006570,   0.006440,   0.013010,   0.000000,   0.000000,  -0.640885,  -0.000000,  -0.000000,  130.7000,   10.8014
    2.500,     0.000,   0.533036,   0.007630,   0.006465,   0.014094,   0.000000,   0.000000,  -0.681615,  -0.000000,  -0.000000,  130.7000,   10.6618
    3.000,     0.000,   0.570968,   0.008768,   0.006494,   0.015262,   0.000000,   0.000000,  -0.722293,  -0.000000,  -0.000000,  130.7000,   10.5412
    3.500,     0.000,   0.608831,   0.009984,   0.006527,   0.016511,   0.000000,   0.000000,  -0.762905,  -0.000000,  -0.000000,  130.7000,   10.4361
