xflr5 v6.61

Plane name :, Main Aircraft
Polar name :, Vd
Freestream speed :, 171.3 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -7.000,     0.000,  -0.194241,   0.001416,   0.006374,   0.007790,  -0.000000,  -0.000000,   0.087190,   0.000000,   0.000000,  171.3200,    3.8393
   -6.500,     0.000,  -0.155941,   0.001004,   0.006336,   0.007340,  -0.000000,  -0.000000,   0.047614,   0.000000,   0.000000,  171.3200,    2.6058
   -6.000,     0.000,  -0.117615,   0.000673,   0.006307,   0.006980,  -0.000000,  -0.000000,   0.007872,   0.000000,   0.000000,  171.3200,    0.5690
   -5.500,     0.000,  -0.079268,   0.000424,   0.006281,   0.006706,  -0.000000,  -0.000000,  -0.032025,   0.000000,   0.000000,  171.3200,   -3.4380
   -5.000,     0.000,  -0.040904,   0.000258,   0.006263,   0.006520,  -0.000000,  -0.000000,  -0.072065,   0.000000,   0.000000,  171.3200,  -14.9603
   -4.500,     0.000,  -0.002529,   0.000173,   0.006214,   0.006387,  -0.000000,  -0.000000,  -0.112246,   0.000000,   0.000000,  171.3200, -376.1350
   -4.000,     0.000,   0.035852,   0.000171,   0.006185,   0.006356,  -0.000000,  -0.000000,  -0.152543,   0.000000,   0.000000,  171.3200,   35.9985
   -3.500,     0.000,   0.074233,   0.000252,   0.006177,   0.006430,   0.000000,   0.000000,  -0.192940,  -0.000000,  -0.000000,  171.3200,   21.9552
   -3.000,     0.000,   0.112611,   0.000416,   0.006171,   0.006587,   0.000000,   0.000000,  -0.233433,  -0.000000,  -0.000000,  171.3200,   17.4839
   -2.500,     0.000,   0.150979,   0.000662,   0.006165,   0.006826,   0.000000,   0.000000,  -0.274009,  -0.000000,  -0.000000,  171.3200,   15.2856
   -2.000,     0.000,   0.189333,   0.000991,   0.006158,   0.007149,   0.000000,   0.000000,  -0.314657,  -0.000000,  -0.000000,  171.3200,   13.9783
   -1.500,     0.000,   0.227667,   0.001402,   0.006155,   0.007557,   0.000000,   0.000000,  -0.355362,  -0.000000,  -0.000000,  171.3200,   13.1117
   -1.000,     0.000,   0.265977,   0.001896,   0.006159,   0.008055,   0.000000,   0.000000,  -0.396112,  -0.000000,  -0.000000,  171.3200,   12.4951
   -0.500,     0.000,   0.304258,   0.002472,   0.006166,   0.008638,   0.000000,   0.000000,  -0.436897,  -0.000000,  -0.000000,  171.3200,   12.0342
    0.000,     0.000,   0.342504,   0.003130,   0.006178,   0.009307,   0.000000,   0.000000,  -0.477703,  -0.000000,  -0.000000,  171.3200,   11.6766
    0.500,     0.000,   0.380710,   0.003869,   0.006193,   0.010061,   0.000000,   0.000000,  -0.518518,  -0.000000,  -0.000000,  171.3200,   11.3913
    1.000,     0.000,   0.418871,   0.004689,   0.006211,   0.010900,   0.000000,   0.000000,  -0.559329,  -0.000000,  -0.000000,  171.3200,   11.1584
    1.500,     0.000,   0.456982,   0.005589,   0.006238,   0.011828,   0.000000,   0.000000,  -0.600124,  -0.000000,  -0.000000,  171.3200,   10.9648
    2.000,     0.000,   0.495039,   0.006570,   0.006268,   0.012838,   0.000000,   0.000000,  -0.640892,  -0.000000,  -0.000000,  171.3200,   10.8014
    2.500,     0.000,   0.533036,   0.007630,   0.006296,   0.013925,   0.000000,   0.000000,  -0.681620,  -0.000000,  -0.000000,  171.3200,   10.6618
    3.000,     0.000,   0.570968,   0.008768,   0.006324,   0.015092,   0.000000,   0.000000,  -0.722296,  -0.000000,  -0.000000,  171.3200,   10.5412
    3.500,     0.000,   0.608831,   0.009984,   0.006353,   0.016337,   0.000000,   0.000000,  -0.762907,  -0.000000,  -0.000000,  171.3200,   10.4361
    4.000,     0.000,   0.646619,   0.011277,   0.006388,   0.017666,   0.000000,   0.000000,  -0.803441,  -0.000000,  -0.000000,  171.3200,   10.3438
    4.500,     0.000,   0.684327,   0.012647,   0.006424,   0.019071,   0.000000,   0.000000,  -0.843886,  -0.000000,  -0.000000,  171.3200,   10.2620
    5.000,     0.000,   0.721951,   0.014091,   0.006458,   0.020549,   0.000000,   0.000000,  -0.884229,  -0.000000,  -0.000000,  171.3200,   10.1893
    5.500,     0.000,   0.759486,   0.015610,   0.006491,   0.022101,   0.000000,   0.000000,  -0.924458,  -0.000000,  -0.000000,  171.3200,   10.1242
    6.000,     0.000,   0.796926,   0.017202,   0.006534,   0.023736,   0.000000,   0.000000,  -0.964561,  -0.000000,  -0.000000,  171.3200,   10.0658
    6.500,     0.000,   0.834268,   0.018866,   0.006588,   0.025455,   0.000000,   0.000000,  -1.004525,  -0.000000,  -0.000000,  171.3200,   10.0130
    7.000,     0.000,   0.871506,   0.020601,   0.006654,   0.027255,   0.000000,   0.000000,  -1.044340,  -0.000000,  -0.000000,  171.3200,    9.9652
    7.500,     0.000,   0.908636,   0.022406,   0.006729,   0.029136,   0.000000,   0.000000,  -1.083993,  -0.000000,  -0.000000,  171.3200,    9.9217
    8.000,     0.000,   0.945653,   0.024280,   0.006806,   0.031086,   0.000000,   0.000000,  -1.123472,  -0.000000,  -0.000000,  171.3200,    9.8821
    8.500,     0.000,   0.982552,   0.026221,   0.006885,   0.033105,   0.000000,   0.000000,  -1.162766,  -0.000000,  -0.000000,  171.3200,    9.8460
    9.000,     0.000,   1.019329,   0.028227,   0.006959,   0.035186,   0.000000,   0.000000,  -1.201862,  -0.000000,  -0.000000,  171.3200,    9.8129
    9.500,     0.000,   1.055979,   0.030298,   0.007036,   0.037334,   0.000000,   0.000000,  -1.240748,  -0.000000,  -0.000000,  171.3200,    9.7826
   10.000,     0.000,   1.092497,   0.032432,   0.007119,   0.039551,   0.000000,   0.000000,  -1.279413,  -0.000000,  -0.000000,  171.3200,    9.7548
   10.500,     0.000,   1.128880,   0.034627,   0.007206,   0.041833,   0.000000,   0.000000,  -1.317846,  -0.000000,  -0.000000,  171.3200,    9.7292
   11.000,     0.000,   1.165123,   0.036882,   0.007302,   0.044185,   0.000000,   0.000000,  -1.356034,  -0.000000,   0.000000,  171.3200,    9.7057
   11.500,     0.000,   1.201221,   0.039196,   0.007408,   0.046604,   0.000000,   0.000000,  -1.393968,  -0.000000,   0.000000,  171.3200,    9.6841
   12.000,     0.000,   1.237170,   0.041566,   0.007521,   0.049086,   0.000000,   0.000000,  -1.431635,   0.000000,   0.000000,  171.3200,    9.6641
   12.500,     0.000,   1.272966,   0.043990,   0.007635,   0.051625,   0.000000,   0.000000,  -1.469023,   0.000000,   0.000000,  171.3200,    9.6457
   13.000,     0.000,   1.308604,   0.046468,   0.007750,   0.054218,   0.000000,   0.000000,  -1.506121,   0.000000,   0.000000,  171.3200,    9.6288
   13.500,     0.000,   1.344081,   0.048998,   0.007870,   0.056868,   0.000000,   0.000000,  -1.542919,   0.000000,   0.000000,  171.3200,    9.6132
   14.000,     0.000,   1.379392,   0.051577,   0.007995,   0.059571,   0.000000,   0.000000,  -1.579405,   0.000000,   0.000000,  171.3200,    9.5989
