xflr5 v6.61

Main Aircraft
LoadCase1
QInf  =,  130.700000 ,m/s
Alpha = ,  -0.500000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.304258
Cy    = ,   0.000000
Cd=,   0.008717,ICd=,    0.002472,PCd=,    0.006245
Cl   = ,1.10973e-14
Cm   =,   -0.436892
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,   12.034173, YCP=,   -0.000000, ZCP=,    1.033249 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006, -5.649, 0.034570, 0.006386, 0.002767,-0.144711,-0.018956, 0.3216, 0.0543, 0.9010, 0.0000
  -32.4825,   4.1031, -5.142, 0.051028, 0.006408, 0.004465,-0.249674,-0.032282, 0.3052, 0.0562, 0.8996, 0.1461
  -32.4545,   4.1082, -4.790, 0.071861, 0.006436, 0.005962,-0.357750,-0.045968, 0.2843, 0.0587, 0.8975, 1.7217
  -32.4125,   4.1157, -4.413, 0.091991, 0.006463, 0.007065,-0.459560,-0.058827, 0.2642, 0.0611, 0.8947, 8.5917
  -32.3567,   4.1257, -4.015, 0.110729, 0.006482, 0.007750,-0.552630,-0.070554, 0.2488, 0.0641, 0.8913,28.4975
  -32.2870,   4.1382, -3.612, 0.127831, 0.006497, 0.008055,-0.635851,-0.081013, 0.2357, 0.0669, 0.8873,74.1200
  -32.2035,   4.1532, -3.218, 0.143228, 0.006510, 0.008042,-0.708880,-0.090165, 0.2238, 0.0695, 0.8828,163.8916
  -32.1065,   4.1706, -2.843, 0.156958, 0.006521, 0.007787,-0.771917,-0.098040, 0.2132, 0.0717, 0.8777,322.5645
  -31.9958,   4.1904, -2.495, 0.169132, 0.006523, 0.007365,-0.825543,-0.104717, 0.2054, 0.0742, 0.8721,581.5672
  -31.8718,   4.2127, -2.179, 0.179901, 0.006527, 0.006842,-0.870566,-0.110306, 0.1982, 0.0765, 0.8660,979.1893
  -31.7345,   4.2373, -1.897, 0.189437, 0.006529, 0.006272,-0.907919,-0.114933, 0.1918, 0.0784, 0.8595,1560.6392
  -31.5842,   4.2643, -1.650, 0.197917, 0.006531, 0.005698,-0.938559,-0.118730, 0.1860, 0.0800, 0.8526,2378.0135
  -31.4210,   4.2936, -1.435, 0.205509, 0.006532, 0.005147,-0.963404,-0.121822, 0.1807, 0.0815, 0.8454,3490.2086
  -31.2450,   4.3251, -1.251, 0.212364, 0.006533, 0.004636,-0.983288,-0.124327, 0.1758, 0.0827, 0.8381,4962.7973
  -31.0566,   4.3589, -1.094, 0.218615, 0.006533, 0.004174,-0.998941,-0.126347, 0.1713, 0.0838, 0.8305,6867.8781
  -30.8559,   4.3949, -0.962, 0.224373, 0.006532, 0.003764,-1.010988,-0.127972, 0.1671, 0.0847, 0.8229,9283.9056
  -30.6432,   4.4331, -0.850, 0.229730, 0.006531, 0.003407,-1.019952,-0.129277, 0.1631, 0.0856, 0.8152,12295.4978
  -30.4188,   4.4733, -0.756, 0.234761, 0.006533, 0.003098,-1.026261,-0.130326, 0.1594, 0.0861, 0.8076,15993.2182
  -30.1829,   4.5157, -0.678, 0.239524, 0.006534, 0.002835,-1.030270,-0.131169, 0.1560, 0.0866, 0.8000,20473.3266
  -29.9358,   4.5600, -0.613, 0.244064, 0.006533, 0.002611,-1.032267,-0.131848, 0.1530, 0.0872, 0.7926,25837.4929
  -29.6778,   4.6063, -0.559, 0.248418, 0.006532, 0.002423,-1.032486,-0.132397, 0.1500, 0.0878, 0.7853,32192.4677
  -29.4093,   4.6544, -0.514, 0.252612, 0.006530, 0.002267,-1.031118,-0.132844, 0.1472, 0.0883, 0.7782,39649.7049
  -29.1305,   4.7045, -0.478, 0.256666, 0.006528, 0.002139,-1.028323,-0.133209, 0.1445, 0.0888, 0.7713,48324.9326
  -28.8418,   4.7563, -0.447, 0.260595, 0.006525, 0.002034,-1.024233,-0.133510, 0.1418, 0.0893, 0.7646,58337.6668
  -28.5435,   4.8098, -0.423, 0.264407, 0.006522, 0.001950,-1.018962,-0.133760, 0.1392, 0.0897, 0.7581,69810.6690
  -28.2361,   4.8649, -0.403, 0.268111, 0.006518, 0.001885,-1.012607,-0.133969, 0.1367, 0.0902, 0.7519,82869.3428
  -27.9198,   4.9216, -0.387, 0.271711, 0.006514, 0.001835,-1.005255,-0.134145, 0.1343, 0.0905, 0.7459,97641.0727
  -27.5951,   4.9799, -0.375, 0.275210, 0.006509, 0.001798,-0.996985,-0.134295, 0.1319, 0.0909, 0.7401,114254.5038
  -27.2624,   5.0396, -0.365, 0.278609, 0.006504, 0.001774,-0.987869,-0.134424, 0.1296, 0.0912, 0.7346,132838.7654
  -26.9220,   5.1006, -0.358, 0.281909, 0.006498, 0.001759,-0.977976,-0.134536, 0.1274, 0.0915, 0.7293,153522.6414
  -26.5745,   5.1630, -0.353, 0.285109, 0.006492, 0.001754,-0.967370,-0.134633, 0.1252, 0.0918, 0.7243,176433.6910
  -26.2201,   5.2266, -0.350, 0.288210, 0.006486, 0.001757,-0.956112,-0.134719, 0.1231, 0.0920, 0.7195,201697.3243
  -25.8594,   5.2913, -0.348, 0.291211, 0.006479, 0.001767,-0.944263,-0.134795, 0.1211, 0.0922, 0.7149,229435.8380
  -25.4927,   5.3570, -0.347, 0.294110, 0.006472, 0.001783,-0.931879,-0.134863, 0.1191, 0.0924, 0.7106,259767.4184
  -25.1206,   5.4238, -0.348, 0.296908, 0.006465, 0.001804,-0.919016,-0.134925, 0.1172, 0.0926, 0.7064,292805.1162
  -24.7435,   5.4915, -0.350, 0.299602, 0.006456, 0.001830,-0.905729,-0.134980, 0.1156, 0.0929, 0.7025,328655.8031
  -24.3618,   5.5599, -0.353, 0.302193, 0.006446, 0.001859,-0.892070,-0.135031, 0.1142, 0.0932, 0.6988,367419.1154
  -23.9760,   5.6291, -0.356, 0.304681, 0.006436, 0.001893,-0.878089,-0.135078, 0.1127, 0.0934, 0.6953,409186.3958
  -23.5865,   5.6990, -0.360, 0.307064, 0.006426, 0.001929,-0.863835,-0.135121, 0.1113, 0.0936, 0.6920,454039.6397
