xflr5 v6.61

Main Aircraft
LoadCase1
QInf  =,  130.700000 ,m/s
Alpha = ,  -4.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.035852
Cy    = ,  -0.000000
Cd=,   0.006376,ICd=,    0.000171,PCd=,    0.006205
Cl   = ,-1.43052e-15
Cm   =,   -0.152554
ICn=,    0.000000,PCn=,    0.000000
XCP=,   35.998493, YCP=,    0.000000, ZCP=,    1.080866 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006, -4.025, 0.008073, 0.006356, 0.000512,-0.049450,-0.021548, 0.3483, 0.0511, 3.0824, 0.0000
  -32.4825,   4.1031, -3.743, 0.013026, 0.006360, 0.000842,-0.087755,-0.036842, 0.3431, 0.0517, 3.1320, 0.0341
  -32.4545,   4.1082, -3.422, 0.017859, 0.006365, 0.001064,-0.124657,-0.052487, 0.3380, 0.0523, 3.2337, 0.4298
  -32.4125,   4.1157, -3.055, 0.021645, 0.006368, 0.001154,-0.155695,-0.067136, 0.3338, 0.0528, 3.3962, 2.1421
  -32.3567,   4.1257, -2.663, 0.024123, 0.006370, 0.001122,-0.179438,-0.080425, 0.3308, 0.0530, 3.6313, 6.9507
  -32.2870,   4.1382, -2.265, 0.025206, 0.006371, 0.000997,-0.195401,-0.092184, 0.3291, 0.0531, 3.9598,17.4733
  -32.2035,   4.1532, -1.876, 0.024928, 0.006370, 0.000817,-0.203754,-0.102356, 0.3287, 0.0530, 4.4169,36.9939
  -32.1065,   4.1706, -1.508, 0.023407, 0.006368, 0.000616,-0.205155,-0.110968, 0.3294, 0.0528, 5.0641,69.1313
  -31.9958,   4.1904, -1.170, 0.020826, 0.006364, 0.000426,-0.200590,-0.118105, 0.3311, 0.0524, 6.0146,117.3958
  -31.8718,   4.2127, -0.867, 0.017399, 0.006360, 0.000264,-0.191235,-0.123893, 0.3334, 0.0519, 7.4996,184.6927
  -31.7345,   4.2373, -0.602, 0.013356, 0.006356, 0.000141,-0.178325,-0.128482, 0.3363, 0.0513,10.0716,272.8275
  -31.5842,   4.2643, -0.375, 0.008918, 0.006351, 0.000058,-0.163061,-0.132031, 0.3394, 0.0507,15.4521,382.0648
  -31.4210,   4.2936, -0.184, 0.004294, 0.006346, 0.000014,-0.146540,-0.134696, 0.3425, 0.0500,33.0723,510.7768
  -31.2450,   4.3251, -0.026,-0.000337, 0.006340,-0.000000,-0.129707,-0.136628, 0.3455, 0.0494,-282.5464,655.2051
  -31.0566,   4.3589,  0.101,-0.004823, 0.006335, 0.000009,-0.113343,-0.137963, 0.3482, 0.0487,-27.7581,809.3484
  -30.8559,   4.3949,  0.202,-0.009042, 0.006330, 0.000032,-0.098056,-0.138824, 0.3505, 0.0481,-14.9983,964.9742
  -30.6432,   4.4331,  0.280,-0.012902, 0.006326, 0.000063,-0.084292,-0.139315, 0.3523, 0.0476,-10.5271,1111.7475
  -30.4188,   4.4733,  0.338,-0.016337, 0.006322, 0.000096,-0.072351,-0.139526, 0.3535, 0.0471,-8.2947,1237.4621
  -30.1829,   4.5157,  0.379,-0.019305, 0.006318, 0.000128,-0.062404,-0.139533, 0.3541, 0.0466,-6.9915,1328.3558
  -29.9358,   4.5600,  0.406,-0.021784, 0.006314, 0.000154,-0.054517,-0.139397, 0.3541, 0.0462,-6.1665,1369.4900
  -29.6778,   4.6063,  0.421,-0.023770, 0.006311, 0.000175,-0.048668,-0.139165, 0.3535, 0.0459,-5.6239,1345.1732
  -29.4093,   4.6544,  0.428,-0.025272, 0.006309, 0.000189,-0.044770,-0.138875, 0.3524, 0.0456,-5.2653,1239.4068
  -29.1305,   4.7045,  0.427,-0.026308, 0.006306, 0.000196,-0.042687,-0.138556, 0.3506, 0.0454,-5.0370,1036.3363
  -28.8418,   4.7563,  0.421,-0.026906, 0.006305, 0.000198,-0.042249,-0.138229, 0.3484, 0.0452,-4.9077,720.6912
  -28.5435,   4.8098,  0.411,-0.027099, 0.006303, 0.000194,-0.043269,-0.137906, 0.3457, 0.0451,-4.8591,278.2007
  -28.2361,   4.8649,  0.397,-0.026921, 0.006301, 0.000187,-0.045552,-0.137598, 0.3425, 0.0450,-4.8810,-304.0252
  -27.9198,   4.9216,  0.381,-0.026409, 0.006300, 0.000176,-0.048903,-0.137310, 0.3390, 0.0449,-4.9688,-1037.1562
  -27.5951,   4.9799,  0.364,-0.025599, 0.006299, 0.000163,-0.053136,-0.137046, 0.3351, 0.0449,-5.1222,-1930.3485
  -27.2624,   5.0396,  0.346,-0.024529, 0.006298, 0.000148,-0.058076,-0.136807, 0.3309, 0.0449,-5.3452,-2990.5012
  -26.9220,   5.1006,  0.327,-0.023231, 0.006297, 0.000133,-0.063561,-0.136591, 0.3265, 0.0448,-5.6464,-4222.0639
  -26.5745,   5.1630,  0.308,-0.021737, 0.006297, 0.000117,-0.069447,-0.136400, 0.3219, 0.0448,-6.0396,-5626.8943
  -26.2201,   5.2266,  0.290,-0.020077, 0.006296, 0.000102,-0.075606,-0.136229, 0.3170, 0.0449,-6.5469,-7204.1665
  -25.8594,   5.2913,  0.272,-0.018279, 0.006295, 0.000087,-0.081925,-0.136080, 0.3120, 0.0449,-7.2017,-8950.3282
  -25.4927,   5.3570,  0.254,-0.016366, 0.006294, 0.000073,-0.088307,-0.135948, 0.3069, 0.0449,-8.0562,-10859.1039
  -25.1206,   5.4238,  0.236,-0.014362, 0.006294, 0.000059,-0.094669,-0.135833, 0.3017, 0.0449,-9.1947,-12921.5439
  -24.7435,   5.4915,  0.220,-0.012287, 0.006293, 0.000047,-0.100943,-0.135733, 0.2965, 0.0449,-10.7621,-15126.1137
  -24.3618,   5.5599,  0.204,-0.010159, 0.006292, 0.000036,-0.107070,-0.135645, 0.2912, 0.0449,-13.0268,-17458.8243
  -23.9760,   5.6291,  0.188,-0.007993, 0.006291, 0.000026,-0.113005,-0.135570, 0.2858, 0.0449,-16.5474,-19903.3969
  -23.5865,   5.6990,  0.173,-0.005806, 0.006291, 0.000018,-0.118709,-0.135505, 0.2805, 0.0449,-22.7066,-22441.4614
  -23.1940,   5.7694,  0.159,-0.003608, 0.006290, 0.000010,-0.124155,-0.135449, 0.2751, 0.0448,-36.1148,-25052.7833
  -22.7987,   5.8403,  0.146,-0.001413, 0.006288, 0.000004,-0.129320,-0.135402, 0.2698, 0.0448,-87.1921,-27715.5168
  -22.4013,   5.9116,  0.132, 0.000771, 0.006287,-0.000002,-0.134190,-0.135362, 0.2645, 0.0447,219.9597,-30406.4788
  -22.0021,   5.9832,  0.120, 0.002933, 0.006286,-0.000006,-0.138755,-0.135328, 0.2592, 0.0447,49.2800,-33101.4409
  -21.6018,   6.0550,  0.108, 0.005067, 0.006285,-0.000010,-0.143011,-0.135301, 0.2540, 0.0446,27.9996,-35775.4350
  -21.2007,   6.1270,  0.097, 0.007165, 0.006283,-0.000012,-0.146955,-0.135279, 0.2488, 0.0445,19.6971,-38403.0678
  -20.7993,   6.1990,  0.086, 0.009221, 0.006282,-0.000014,-0.150591,-0.135262, 0.2438, 0.0444,15.2866,-40958.8411
  -20.3982,   6.2710,  0.076, 0.011231, 0.006280,-0.000015,-0.153923,-0.135249, 0.2388, 0.0443,12.5585,-43417.4727
