xflr5 v6.61

Main Aircraft
LoadCase1
QInf  =,  130.700000 ,m/s
Alpha = ,   0.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.342504
Cy    = ,   0.000000
Cd=,   0.009388,ICd=,    0.003130,PCd=,    0.006258
Cl   = , 1.2875e-14
Cm   =,   -0.477698
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,   11.676609, YCP=,   -0.000000, ZCP=,    1.032623 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006, -5.878, 0.038811, 0.006391, 0.003230,-0.158406,-0.018573, 0.3174, 0.0548, 0.8268, 0.0000
  -32.4825,   4.1031, -5.340, 0.056533, 0.006415, 0.005136,-0.272954,-0.031608, 0.2997, 0.0569, 0.8249, 0.1640
  -32.4545,   4.1082, -4.983, 0.079591, 0.006446, 0.006870,-0.391267,-0.045005, 0.2767, 0.0596, 0.8223, 1.9140
  -32.4125,   4.1157, -4.605, 0.102028, 0.006475, 0.008178,-0.503260,-0.057599, 0.2557, 0.0626, 0.8188, 9.5311
  -32.3567,   4.1257, -4.207, 0.123070, 0.006494, 0.009026,-0.606309,-0.069095, 0.2396, 0.0662, 0.8146,31.6071
  -32.2870,   4.1382, -3.803, 0.142445, 0.006511, 0.009452,-0.699214,-0.079361, 0.2249, 0.0694, 0.8098,82.2576
  -32.2035,   4.1532, -3.408, 0.160069, 0.006525, 0.009521,-0.781560,-0.088362, 0.2114, 0.0723, 0.8044,182.0738
  -32.1065,   4.1706, -3.032, 0.175969, 0.006529, 0.009314,-0.853485,-0.096127, 0.2017, 0.0758, 0.7985,358.8197
  -31.9958,   4.1904, -2.683, 0.190242, 0.006535, 0.008910,-0.915498,-0.102734, 0.1924, 0.0788, 0.7921,647.9026
  -31.8718,   4.2127, -2.366, 0.203032, 0.006539, 0.008383,-0.968362,-0.108292, 0.1840, 0.0815, 0.7853,1092.6559
  -31.7345,   4.2373, -2.082, 0.214502, 0.006543, 0.007793,-1.012966,-0.112922, 0.1764, 0.0838, 0.7783,1744.4750
  -31.5842,   4.2643, -1.831, 0.224823, 0.006546, 0.007186,-1.050230,-0.116753, 0.1695, 0.0858, 0.7712,2662.8462
  -31.4210,   4.2936, -1.613, 0.234155, 0.006551, 0.006594,-1.081044,-0.119906, 0.1633, 0.0873, 0.7639,3915.2967
  -31.2450,   4.3251, -1.426, 0.242647, 0.006558, 0.006037,-1.106224,-0.122492, 0.1580, 0.0887, 0.7566,5577.2860
  -31.0566,   4.3589, -1.265, 0.250429, 0.006562, 0.005527,-1.126498,-0.124610, 0.1535, 0.0901, 0.7493,7732.0518
  -30.8559,   4.3949, -1.128, 0.257609, 0.006565, 0.005069,-1.142491,-0.126344, 0.1493, 0.0913, 0.7422,10470.4137
  -30.6432,   4.4331, -1.011, 0.264280, 0.006567, 0.004663,-1.154735,-0.127767, 0.1454, 0.0925, 0.7351,13890.5348
  -30.4188,   4.4733, -0.912, 0.270518, 0.006568, 0.004307,-1.163680,-0.128935, 0.1417, 0.0935, 0.7283,18097.6403
  -30.1829,   4.5157, -0.829, 0.276382, 0.006568, 0.003998,-1.169704,-0.129899, 0.1382, 0.0945, 0.7216,23203.6871
  -29.9358,   4.5600, -0.759, 0.281923, 0.006567, 0.003732,-1.173128,-0.130695, 0.1349, 0.0953, 0.7152,29326.9828
  -29.6778,   4.6063, -0.699, 0.287181, 0.006566, 0.003503,-1.174222,-0.131357, 0.1318, 0.0961, 0.7090,36591.7489
  -29.4093,   4.6544, -0.649, 0.292186, 0.006564, 0.003309,-1.173220,-0.131910, 0.1288, 0.0969, 0.7030,45127.6259
  -29.1305,   4.7045, -0.607, 0.296966, 0.006561, 0.003144,-1.170321,-0.132374, 0.1260, 0.0976, 0.6973,55069.1178
  -28.8418,   4.7563, -0.571, 0.301538, 0.006555, 0.003007,-1.165704,-0.132765, 0.1239, 0.0986, 0.6918,66554.9748
  -28.5435,   4.8098, -0.542, 0.305921, 0.006547, 0.002892,-1.159525,-0.133097, 0.1221, 0.0997, 0.6866,79727.5124
  -28.2361,   4.8649, -0.517, 0.310127, 0.006539, 0.002798,-1.151922,-0.133381, 0.1203, 0.1007, 0.6816,94731.8688
  -27.9198,   4.9216, -0.497, 0.314166, 0.006532, 0.002723,-1.143024,-0.133624, 0.1186, 0.1015, 0.6768,111715.1995
  -27.5951,   4.9799, -0.480, 0.318047, 0.006525, 0.002664,-1.132947,-0.133834, 0.1169, 0.1022, 0.6723,130825.8132
  -27.2624,   5.0396, -0.466, 0.321777, 0.006517, 0.002619,-1.121801,-0.134016, 0.1152, 0.1029, 0.6680,152212.2491
  -26.9220,   5.1006, -0.456, 0.325361, 0.006509, 0.002586,-1.109686,-0.134174, 0.1136, 0.1034, 0.6638,176022.3017
  -26.5745,   5.1630, -0.447, 0.328804, 0.006502, 0.002565,-1.096697,-0.134314, 0.1121, 0.1039, 0.6599,202401.9953
  -26.2201,   5.2266, -0.441, 0.332109, 0.006494, 0.002554,-1.082923,-0.134436, 0.1105, 0.1043, 0.6562,231494.5147
  -25.8594,   5.2913, -0.436, 0.335279, 0.006485, 0.002552,-1.068449,-0.134545, 0.1090, 0.1046, 0.6527,263439.0973
  -25.4927,   5.3570, -0.433, 0.338318, 0.006477, 0.002558,-1.053354,-0.134642, 0.1076, 0.1049, 0.6494,298369.8939
  -25.1206,   5.4238, -0.432, 0.341227, 0.006469, 0.002570,-1.037714,-0.134728, 0.1062, 0.1051, 0.6463,336414.8046
  -24.7435,   5.4915, -0.431, 0.344008, 0.006461, 0.002589,-1.021601,-0.134806, 0.1048, 0.1052, 0.6433,377694.2989
  -24.3618,   5.5599, -0.432, 0.346664, 0.006452, 0.002614,-1.005083,-0.134877, 0.1034, 0.1053, 0.6405,422320.2279
  -23.9760,   5.6291, -0.434, 0.349196, 0.006444, 0.002643,-0.988226,-0.134941, 0.1021, 0.1053, 0.6378,470394.6378
  -23.5865,   5.6990, -0.436, 0.351606, 0.006435, 0.002676,-0.971089,-0.135000, 0.1008, 0.1053, 0.6354,522008.5948
  -23.1940,   5.7694, -0.440, 0.353894, 0.006426, 0.002714,-0.953732,-0.135054, 0.0996, 0.1052, 0.6330,577241.0306
  -22.7987,   5.8403, -0.443, 0.356063, 0.006418, 0.002754,-0.936209,-0.135105, 0.0984, 0.1050, 0.6308,636157.6191
  -22.4013,   5.9116, -0.448, 0.358115, 0.006409, 0.002797,-0.918572,-0.135153, 0.0972, 0.1048, 0.6288,698809.6947
  -22.0021,   5.9832, -0.452, 0.360050, 0.006400, 0.002842,-0.900870,-0.135198, 0.0961, 0.1045, 0.6269,765233.2229
  -21.6018,   6.0550, -0.458, 0.361870, 0.006391, 0.002889,-0.883150,-0.135241, 0.0950, 0.1042, 0.6251,835447.8320
  -21.2007,   6.1270, -0.463, 0.363578, 0.006382, 0.002937,-0.865454,-0.135283, 0.0939, 0.1039, 0.6235,909455.9185
  -20.7993,   6.1990, -0.469, 0.365174, 0.006373, 0.002986,-0.847822,-0.135325, 0.0928, 0.1035, 0.6220,987241.8338
  -20.3982,   6.2710, -0.475, 0.366661, 0.006365, 0.003036,-0.830293,-0.135365, 0.0918, 0.1031, 0.6206,1068771.1632
  -19.9979,   6.3428, -0.481, 0.368040, 0.006356, 0.003086,-0.812903,-0.135406, 0.0909, 0.1026, 0.6193,1153990.1050
  -19.5987,   6.4144, -0.487, 0.369314, 0.006347, 0.003135,-0.795683,-0.135448, 0.0899, 0.1021, 0.6181,1242824.9591
  -19.2013,   6.4857, -0.493, 0.370485, 0.006338, 0.003184,-0.778665,-0.135491, 0.0890, 0.1016, 0.6171,1335181.7311
  -18.8060,   6.5566, -0.499, 0.371555, 0.006330, 0.003232,-0.761877,-0.135535, 0.0881, 0.1010, 0.6162,1430945.8612
  -18.4135,   6.6270, -0.505, 0.372526, 0.006321, 0.003279,-0.745345,-0.135582, 0.0872, 0.1005, 0.6153,1529982.0802
  -18.0240,   6.6969, -0.510, 0.373401, 0.006312, 0.003324,-0.729094,-0.135632, 0.0864, 0.0999, 0.6146,1632134.4006
  -17.6382,   6.7661, -0.516, 0.374182, 0.006304, 0.003367,-0.713145,-0.135685, 0.0856, 0.0993, 0.6140,1737226.2450
  -17.2565,   6.8345, -0.521, 0.374872, 0.006295, 0.003408,-0.697519,-0.135742, 0.0849, 0.0986, 0.6135,1845060.7144
  -16.8794,   6.9022, -0.526, 0.375474, 0.006288, 0.003446,-0.682235,-0.135803, 0.0842, 0.0981, 0.6131,1955420.9977
  -16.5073,   6.9690, -0.531, 0.375991, 0.006283, 0.003480,-0.667309,-0.135870, 0.0837, 0.0980, 0.6128,2068070.9240
  -16.1406,   7.0347, -0.535, 0.376426, 0.006279, 0.003511,-0.652757,-0.135944, 0.0832, 0.0978, 0.6126,2182755.6549
  -15.7799,   7.0994, -0.538, 0.376781, 0.006275, 0.003537,-0.638594,-0.136024, 0.0828, 0.0977, 0.6124,2299202.5149
  -15.4255,   7.1630, -0.541, 0.377061, 0.006271, 0.003559,-0.624830,-0.136111, 0.0824, 0.0975, 0.6124,2417121.9580
  -15.0780,   7.2254, -0.543, 0.377269, 0.006267, 0.003575,-0.611479,-0.136207, 0.0820, 0.0973, 0.6125,2536208.6632
  -14.7376,   7.2864, -0.545, 0.377407, 0.006264, 0.003585,-0.598550,-0.136312, 0.0816, 0.0971, 0.6126,2656142.7556
  -14.4049,   7.3461, -0.545, 0.377481, 0.006260, 0.003589,-0.586051,-0.136426, 0.0812, 0.0969, 0.6128,2776591.1436
  -14.0802,   7.4044, -0.544, 0.377493, 0.006256, 0.003586,-0.573991,-0.136551, 0.0809, 0.0967, 0.6132,2897208.9667
  -13.7639,   7.4611, -0.543, 0.377449, 0.006252, 0.003574,-0.562375,-0.136686, 0.0805, 0.0965, 0.6136,3017641.1427
  -13.4565,   7.5162, -0.540, 0.377351, 0.006248, 0.003553,-0.551210,-0.136832, 0.0803, 0.0963, 0.6141,3137524.0049
  -13.1582,   7.5697, -0.535, 0.377204, 0.006245, 0.003523,-0.540501,-0.136989, 0.0800, 0.0961, 0.6146,3256487.0196
  -12.8695,   7.6215, -0.529, 0.377013, 0.006241, 0.003481,-0.530251,-0.137158, 0.0797, 0.0959, 0.6153,3374154.5707
  -12.5907,   7.6716, -0.521, 0.376783, 0.006238, 0.003427,-0.520463,-0.137338, 0.0795, 0.0957, 0.6160,3490147.8006
  -12.3222,   7.7197, -0.512, 0.376518, 0.006235, 0.003359,-0.511141,-0.137529, 0.0793, 0.0954, 0.6167,3604086.4936
  -12.0642,   7.7660, -0.499, 0.376224, 0.006231, 0.003276,-0.502285,-0.137731, 0.0791, 0.0952, 0.6176,3715590.9907
  -11.8171,   7.8103, -0.484, 0.375907, 0.006228, 0.003175,-0.493899,-0.137944, 0.0789, 0.0950, 0.6185,3824284.1200
  -11.5812,   7.8527, -0.466, 0.375571, 0.006226, 0.003055,-0.485982,-0.138168, 0.0787, 0.0948, 0.6194,3929793.1323
  -11.3568,   7.8929, -0.445, 0.375223, 0.006223, 0.002914,-0.478536,-0.138401, 0.0785, 0.0945, 0.6204,4031751.6259
  -11.1441,   7.9311, -0.420, 0.374871, 0.006220, 0.002747,-0.471562,-0.138645, 0.0784, 0.0943, 0.6214,4129801.4494
  -10.9434,   7.9671, -0.391, 0.374519, 0.006218, 0.002553,-0.465062,-0.138898, 0.0783, 0.0941, 0.6224,4223594.5693
