xflr5 v6.61

Main Aircraft
LoadCase1
QInf  =,  130.700000 ,m/s
Alpha = ,   1.500000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.456982
Cy    = ,   0.000000
Cd=,   0.011921,ICd=,    0.005589,PCd=,    0.006332
Cl   = ,1.81333e-14
Cm   =,    -0.60012
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,   10.964791, YCP=,   -0.000000, ZCP=,    1.031577 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006, -6.564, 0.052191, 0.006410, 0.004889,-0.199531,-0.017405, 0.3041, 0.0564, 0.6701, 0.0000
  -32.4825,   4.1031, -5.930, 0.073123, 0.006438, 0.007384,-0.342863,-0.029556, 0.2833, 0.0589, 0.6673, 0.2205
  -32.4545,   4.1082, -5.561, 0.102754, 0.006476, 0.009906,-0.491922,-0.042072, 0.2554, 0.0628, 0.6642, 2.5014
  -32.4125,   4.1157, -5.179, 0.132051, 0.006503, 0.011912,-0.634506,-0.053861, 0.2333, 0.0678, 0.6603,12.3700
  -32.3567,   4.1257, -4.779, 0.159959, 0.006528, 0.013337,-0.767532,-0.064653, 0.2122, 0.0724, 0.6556,40.9625
  -32.2870,   4.1382, -4.374, 0.186119, 0.006538, 0.014213,-0.889544,-0.074333, 0.1961, 0.0782, 0.6503,106.6839
  -32.2035,   4.1532, -3.978, 0.210393, 0.006550, 0.014614,-0.999896,-0.082871, 0.1807, 0.0834, 0.6445,236.5796
  -32.1065,   4.1706, -3.600, 0.232771, 0.006563, 0.014632,-1.098521,-0.090300, 0.1665, 0.0880, 0.6384,467.4180
  -31.9958,   4.1904, -3.247, 0.253317, 0.006584, 0.014362,-1.185751,-0.096693, 0.1550, 0.0919, 0.6321,846.5024
  -31.8718,   4.2127, -2.924, 0.272146, 0.006601, 0.013895,-1.262195,-0.102153, 0.1448, 0.0957, 0.6257,1432.2456
  -31.7345,   4.2373, -2.633, 0.289397, 0.006616, 0.013307,-1.328605,-0.106791, 0.1356, 0.0992, 0.6193,2294.5438
  -31.5842,   4.2643, -2.375, 0.305219, 0.006621, 0.012656,-1.385796,-0.110721, 0.1287, 0.1034, 0.6130,3514.9810
  -31.4210,   4.2936, -2.148, 0.319755, 0.006617, 0.011988,-1.434579,-0.114053, 0.1242, 0.1082, 0.6069,5186.8931
  -31.2450,   4.3251, -1.949, 0.333142, 0.006613, 0.011333,-1.475713,-0.116883, 0.1200, 0.1125, 0.6010,7415.3094
  -31.0566,   4.3589, -1.775, 0.345499, 0.006609, 0.010708,-1.509901,-0.119294, 0.1161, 0.1164, 0.5955,10316.7826
  -30.8559,   4.3949, -1.625, 0.356932, 0.006605, 0.010124,-1.537774,-0.121358, 0.1125, 0.1199, 0.5902,14019.1160
  -30.6432,   4.4331, -1.494, 0.367531, 0.006601, 0.009585,-1.559897,-0.123131, 0.1091, 0.1230, 0.5852,18660.9886
  -30.4188,   4.4733, -1.380, 0.377377, 0.006601, 0.009092,-1.576773,-0.124660, 0.1057, 0.1261, 0.5805,24391.4817
  -30.1829,   4.5157, -1.281, 0.386536, 0.006604, 0.008643,-1.588860,-0.125985, 0.1023, 0.1286, 0.5761,31369.5080
  -29.9358,   4.5600, -1.194, 0.395068, 0.006606, 0.008237,-1.596576,-0.127134, 0.0991, 0.1309, 0.5720,39763.1459
  -29.6778,   4.6063, -1.119, 0.403027, 0.006607, 0.007870,-1.600302,-0.128134, 0.0961, 0.1329, 0.5681,49748.8814
  -29.4093,   4.6544, -1.052, 0.410458, 0.006608, 0.007539,-1.600393,-0.129005, 0.0932, 0.1346, 0.5645,61510.7609
  -29.1305,   4.7045, -0.994, 0.417404, 0.006608, 0.007243,-1.597178,-0.129765, 0.0906, 0.1361, 0.5611,75239.4593
  -28.8418,   4.7563, -0.943, 0.423903, 0.006608, 0.006978,-1.590964,-0.130428, 0.0881, 0.1374, 0.5579,91131.2670
  -28.5435,   4.8098, -0.899, 0.429989, 0.006607, 0.006743,-1.582040,-0.131008, 0.0857, 0.1384, 0.5549,109386.9990
  -28.2361,   4.8649, -0.860, 0.435694, 0.006605, 0.006536,-1.570673,-0.131515, 0.0834, 0.1393, 0.5521,130210.8309
  -27.9198,   4.9216, -0.826, 0.441045, 0.006601, 0.006355,-1.557113,-0.131959, 0.0816, 0.1409, 0.5494,153809.0665
  -27.5951,   4.9799, -0.796, 0.446068, 0.006596, 0.006198,-1.541594,-0.132348, 0.0800, 0.1427, 0.5469,180388.8390
  -27.2624,   5.0396, -0.771, 0.450785, 0.006589, 0.006063,-1.524331,-0.132690, 0.0787, 0.1445, 0.5446,210156.7537
  -26.9220,   5.1006, -0.749, 0.455216, 0.006583, 0.005949,-1.505525,-0.132990, 0.0774, 0.1461, 0.5424,243317.4748
  -26.5745,   5.1630, -0.730, 0.459381, 0.006577, 0.005854,-1.485361,-0.133254, 0.0762, 0.1473, 0.5403,280072.2637
  -26.2201,   5.2266, -0.714, 0.463294, 0.006570, 0.005777,-1.464011,-0.133488, 0.0750, 0.1484, 0.5384,320617.4758
  -25.8594,   5.2913, -0.701, 0.466971, 0.006564, 0.005716,-1.441635,-0.133694, 0.0738, 0.1491, 0.5366,365143.0225
  -25.4927,   5.3570, -0.691, 0.470425, 0.006558, 0.005670,-1.418379,-0.133877, 0.0728, 0.1497, 0.5349,413830.8073
  -25.1206,   5.4238, -0.682, 0.473666, 0.006551, 0.005638,-1.394380,-0.134040, 0.0717, 0.1501, 0.5333,466853.1453
  -24.7435,   5.4915, -0.675, 0.476706, 0.006545, 0.005618,-1.369763,-0.134185, 0.0707, 0.1503, 0.5318,524371.1765
  -24.3618,   5.5599, -0.670, 0.479553, 0.006538, 0.005610,-1.344644,-0.134315, 0.0698, 0.1503, 0.5304,586533.2822
  -23.9760,   5.6291, -0.667, 0.482216, 0.006532, 0.005611,-1.319130,-0.134432, 0.0688, 0.1501, 0.5291,653473.5183
  -23.5865,   5.6990, -0.665, 0.484703, 0.006525, 0.005622,-1.293320,-0.134538, 0.0680, 0.1497, 0.5279,725310.0751
  -23.1940,   5.7694, -0.664, 0.487020, 0.006519, 0.005641,-1.267305,-0.134634, 0.0671, 0.1492, 0.5268,802143.7768
  -22.7987,   5.8403, -0.664, 0.489174, 0.006512, 0.005667,-1.241168,-0.134722, 0.0663, 0.1486, 0.5257,884056.6341
  -22.4013,   5.9116, -0.665, 0.491171, 0.006505, 0.005699,-1.214987,-0.134802, 0.0655, 0.1479, 0.5248,971110.4614
  -22.0021,   5.9832, -0.667, 0.493016, 0.006499, 0.005736,-1.188834,-0.134877, 0.0648, 0.1470, 0.5239,1063345.5718
  -21.6018,   6.0550, -0.669, 0.494715, 0.006492, 0.005779,-1.162772,-0.134947, 0.0640, 0.1460, 0.5231,1160779.5631
  -21.2007,   6.1270, -0.672, 0.496272, 0.006485, 0.005825,-1.136864,-0.135013, 0.0633, 0.1449, 0.5224,1263406.2065
  -20.7993,   6.1990, -0.676, 0.497692, 0.006479, 0.005874,-1.111162,-0.135076, 0.0627, 0.1437, 0.5218,1371194.4504
  -20.3982,   6.2710, -0.680, 0.498979, 0.006472, 0.005926,-1.085718,-0.135137, 0.0620, 0.1424, 0.5212,1484087.5498
  -19.9979,   6.3428, -0.685, 0.500139, 0.006465, 0.005979,-1.060578,-0.135196, 0.0614, 0.1411, 0.5207,1602002.3341
