xflr5 v6.61

Main Aircraft
LoadCase1
QInf  =,  130.700000 ,m/s
Alpha = ,  10.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.092497
Cy    = ,   0.000000
Cd=,   0.039522,ICd=,    0.032432,PCd=,    0.007090
Cl   = ,4.77844e-14
Cm   =,    -1.27941
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    9.754816, YCP=,   -0.000000, ZCP=,    1.034438 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006,-10.310, 0.144833, 0.006516, 0.025076,-0.428864,-0.010440, 0.2241, 0.0700, 0.3624, 0.0000
  -32.4825,   4.1031, -9.163, 0.167289, 0.006532, 0.026949,-0.732634,-0.017345, 0.2085, 0.0743, 0.3590, 0.6119
  -32.4545,   4.1082, -8.729, 0.230436, 0.006566, 0.035411,-1.053170,-0.024630, 0.1691, 0.0881, 0.3573, 6.0508
  -32.4125,   4.1157, -8.334, 0.296137, 0.006640, 0.043426,-1.366490,-0.031629, 0.1336, 0.1015, 0.3558,28.6995
  -32.3567,   4.1257, -7.930, 0.360891, 0.006640, 0.050324,-1.667005,-0.038226, 0.1140, 0.1240, 0.3544,93.5970
  -32.2870,   4.1382, -7.525, 0.423635, 0.006684, 0.056018,-1.951784,-0.044396, 0.0929, 0.1466, 0.3530,242.5400
  -32.2035,   4.1532, -7.126, 0.483881, 0.006690, 0.060554,-2.218926,-0.050152, 0.0778, 0.1855, 0.3517,537.7497
  -32.1065,   4.1706, -6.741, 0.541372, 0.006690, 0.064043,-2.467227,-0.055535, 0.0672, 0.2287, 0.3505,1065.0612
  -31.9958,   4.1904, -6.373, 0.595973, 0.006695, 0.066622,-2.695983,-0.060598, 0.0586, 0.2714, 0.3496,1936.6123
  -31.8718,   4.2127, -6.027, 0.647628, 0.006693, 0.068432,-2.904872,-0.065398, 0.0516, 0.3148, 0.3489,3293.0267
  -31.7345,   4.2373, -5.704, 0.696329, 0.006699, 0.069605,-3.093857,-0.069989, 0.0458, 0.3525, 0.3484,5305.0928
  -31.5842,   4.2643, -5.404, 0.742102, 0.006718, 0.070253,-3.263112,-0.074412, 0.0418, 0.3866, 0.3481,8174.9473
  -31.4210,   4.2936, -5.126, 0.784991, 0.006749, 0.070469,-3.412968,-0.078693, 0.0395, 0.4178, 0.3481,12136.7722
  -31.2450,   4.3251, -4.869, 0.825053, 0.006776, 0.070324,-3.543874,-0.082847, 0.0385, 0.4456, 0.3483,17457.0161
  -31.0566,   4.3589, -4.629, 0.862355, 0.006810, 0.069870,-3.656388,-0.086870, 0.0376, 0.4676, 0.3486,24434.1529
  -30.8559,   4.3949, -4.406, 0.896975, 0.006892, 0.069150,-3.751160,-0.090752, 0.0370, 0.4719, 0.3490,33397.9916
  -30.6432,   4.4331, -4.196, 0.928997, 0.006967, 0.068197,-3.828915,-0.094473, 0.0362, 0.4762, 0.3495,44708.5606
  -30.4188,   4.4733, -3.999, 0.958516, 0.007041, 0.067043,-3.890470,-0.098013, 0.0347, 0.4835, 0.3501,58754.5887
  -30.1829,   4.5157, -3.812, 0.985635, 0.007108, 0.065719,-3.936713,-0.101351, 0.0333, 0.4901, 0.3507,75951.6176
  -29.9358,   4.5600, -3.636, 1.010471, 0.007167, 0.064255,-3.968599,-0.104470, 0.0324, 0.4985, 0.3512,96739.7788
  -29.6778,   4.6063, -3.470, 1.033143, 0.007219, 0.062685,-3.987135,-0.107358, 0.0315, 0.5074, 0.3518,121581.2750
  -29.4093,   4.6544, -3.313, 1.053783, 0.007264, 0.061041,-3.993359,-0.110010, 0.0306, 0.5157, 0.3523,150957.6035
  -29.1305,   4.7045, -3.166, 1.072523, 0.007313, 0.059358,-3.988325,-0.112426, 0.0294, 0.5249, 0.3527,185366.5598
  -28.8418,   4.7563, -3.028, 1.089497, 0.007355, 0.057665,-3.973081,-0.114611, 0.0283, 0.5341, 0.3531,225319.0542
  -28.5435,   4.8098, -2.899, 1.104839, 0.007392, 0.055991,-3.948653,-0.116577, 0.0272, 0.5426, 0.3534,271335.7714
  -28.2361,   4.8649, -2.780, 1.118680, 0.007422, 0.054358,-3.916029,-0.118336, 0.0263, 0.5506, 0.3537,323943.6989
