xflr5 v6.61

Main Aircraft
LoadCase1
QInf  =,  130.700000 ,m/s
Alpha = ,  11.500000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.201221
Cy    = ,   0.000000
Cd=,   0.046607,ICd=,    0.039196,PCd=,    0.007412
Cl   = ,5.30117e-14
Cm   =,    -1.39397
ICn=,    0.000000,PCn=,   -0.000000
XCP=,    9.684065, YCP=,   -0.000000, ZCP=,    1.035773 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006,-10.942, 0.163768, 0.006532, 0.031060,-0.467746,-0.009178, 0.2106, 0.0734, 0.3402, 0.0000
  -32.4825,   4.1031, -9.709, 0.183546, 0.006540, 0.031585,-0.798690,-0.015138, 0.1985, 0.0779, 0.3368, 0.6918
  -32.4545,   4.1082, -9.266, 0.251811, 0.006592, 0.041233,-1.148296,-0.021479, 0.1572, 0.0922, 0.3354, 6.7015
  -32.4125,   4.1157, -8.869, 0.323350, 0.006641, 0.050588,-1.490577,-0.027611, 0.1251, 0.1109, 0.3342,31.5566
  -32.3567,   4.1257, -8.466, 0.394089, 0.006660, 0.058777,-1.819538,-0.033449, 0.1031, 0.1361, 0.3332,102.6014
  -32.2870,   4.1382, -8.062, 0.462811, 0.006693, 0.065665,-2.131991,-0.038982, 0.0825, 0.1702, 0.3323,265.5027
  -32.2035,   4.1532, -7.664, 0.528954, 0.006690, 0.071283,-2.425816,-0.044230, 0.0693, 0.2197, 0.3315,588.2973
  -32.1065,   4.1706, -7.278, 0.592215, 0.006696, 0.075732,-2.699621,-0.049235, 0.0592, 0.2689, 0.3310,1164.9313
  -31.9958,   4.1904, -6.909, 0.652422, 0.006695, 0.079147,-2.952515,-0.054047, 0.0510, 0.3198, 0.3306,2118.2621
  -31.8718,   4.2127, -6.560, 0.709488, 0.006702, 0.081673,-3.184017,-0.058716, 0.0443, 0.3642, 0.3305,3602.5101
  -31.7345,   4.2373, -6.232, 0.763380, 0.006737, 0.083443,-3.393953,-0.063283, 0.0407, 0.4043, 0.3306,5805.1564
  -31.5842,   4.2643, -5.926, 0.814099, 0.006772, 0.084575,-3.582375,-0.067778, 0.0388, 0.4408, 0.3310,8948.2908
  -31.4210,   4.2936, -5.640, 0.861673, 0.006813, 0.085164,-3.749528,-0.072212, 0.0377, 0.4712, 0.3315,13289.4158
  -31.2450,   4.3251, -5.372, 0.906145, 0.006919, 0.085288,-3.895823,-0.076583, 0.0368, 0.4775, 0.3322,19121.7167
  -31.0566,   4.3589, -5.122, 0.947574, 0.007023, 0.085003,-4.021767,-0.080876, 0.0353, 0.4863, 0.3331,26773.8092
  -30.8559,   4.3949, -4.886, 0.986029, 0.007122, 0.084358,-4.128007,-0.085063, 0.0334, 0.4965, 0.3340,36608.9821
  -30.6432,   4.4331, -4.663, 1.021595, 0.007210, 0.083394,-4.215299,-0.089113, 0.0321, 0.5094, 0.3349,49023.9582
  -30.4188,   4.4733, -4.452, 1.054368, 0.007289, 0.082148,-4.284512,-0.092993, 0.0310, 0.5226, 0.3359,64447.2037
  -30.1829,   4.5157, -4.251, 1.084458, 0.007377, 0.080660,-4.336612,-0.096672, 0.0290, 0.5378, 0.3368,83336.8210
  -29.9358,   4.5600, -4.059, 1.111989, 0.007455, 0.078972,-4.372642,-0.100125, 0.0272, 0.5527, 0.3377,106178.0678
  -29.6778,   4.6063, -3.877, 1.137094, 0.007537, 0.077126,-4.393719,-0.103334, 0.0255, 0.5643, 0.3386,133480.5453
  -29.4093,   4.6544, -3.705, 1.159915, 0.007630, 0.075168,-4.400998,-0.106289, 0.0241, 0.5681, 0.3393,165775.1010
  -29.1305,   4.7045, -3.542, 1.180601, 0.007711, 0.073139,-4.395653,-0.108986, 0.0229, 0.5716, 0.3400,203610.4887
  -28.8418,   4.7563, -3.389, 1.199303, 0.007783, 0.071083,-4.378859,-0.111431, 0.0220, 0.5745, 0.3406,247549.8232
  -28.5435,   4.8098, -3.246, 1.216171, 0.007844, 0.069035,-4.351769,-0.113633, 0.0214, 0.5763, 0.3412,298166.8661
  -28.2361,   4.8649, -3.113, 1.231350, 0.007897, 0.067027,-4.315496,-0.115605, 0.0209, 0.5779, 0.3416,356042.1698
  -27.9198,   4.9216, -2.990, 1.244981, 0.007941, 0.065086,-4.271103,-0.117364, 0.0205, 0.5793, 0.3420,421759.1043
  -27.5951,   4.9799, -2.877, 1.257198, 0.007980, 0.063233,-4.219587,-0.118927, 0.0201, 0.5805, 0.3424,495899.7894
  -27.2624,   5.0396, -2.773, 1.268124, 0.008015, 0.061482,-4.161880,-0.120313, 0.0199, 0.5813, 0.3427,579040.9484
  -26.9220,   5.1006, -2.678, 1.277875, 0.008046, 0.059844,-4.098841,-0.121539, 0.0196, 0.5815, 0.3429,671749.7023
  -26.5745,   5.1630, -2.593, 1.286556, 0.008072, 0.058323,-4.031258,-0.122623, 0.0194, 0.5817, 0.3431,774579.3210
  -26.2201,   5.2266, -2.515, 1.294263, 0.008092, 0.056924,-3.959853,-0.123580, 0.0193, 0.5818, 0.3433,888064.9477
  -25.8594,   5.2913, -2.446, 1.301084, 0.008107, 0.055646,-3.885279,-0.124426, 0.0191, 0.5819, 0.3435,1012719.3173
  -25.4927,   5.3570, -2.384, 1.307096, 0.008118, 0.054485,-3.808127,-0.125173, 0.0190, 0.5819, 0.3436,1149028.4860
  -25.1206,   5.4238, -2.329, 1.312372, 0.008125, 0.053438,-3.728933,-0.125833, 0.0188, 0.5818, 0.3438,1297447.5962
  -24.7435,   5.4915, -2.280, 1.316974, 0.008128, 0.052500,-3.648175,-0.126418, 0.0187, 0.5817, 0.3439,1458396.6963
  -24.3618,   5.5599, -2.237, 1.320959, 0.008127, 0.051665,-3.566285,-0.126936, 0.0187, 0.5815, 0.3440,1632256.6438
  -23.9760,   5.6291, -2.199, 1.324381, 0.008124, 0.050926,-3.483650,-0.127396, 0.0186, 0.5814, 0.3441,1819365.1127
  -23.5865,   5.6990, -2.166, 1.327283, 0.008118, 0.050277,-3.400615,-0.127806, 0.0185, 0.5811, 0.3443,2020012.7365
  -23.1940,   5.7694, -2.138, 1.329708, 0.008109, 0.049710,-3.317488,-0.128172, 0.0185, 0.5808, 0.3444,2234439.4099
  -22.7987,   5.8403, -2.113, 1.331694, 0.008099, 0.049220,-3.234544,-0.128500, 0.0184, 0.5805, 0.3445,2462830.7807
  -22.4013,   5.9116, -2.093, 1.333274, 0.008086, 0.048799,-3.152029,-0.128794, 0.0184, 0.5802, 0.3446,2705314.9566
  -22.0021,   5.9832, -2.075, 1.334479, 0.008072, 0.048441,-3.070158,-0.129060, 0.0184, 0.5798, 0.3448,2961959.4581
  -21.6018,   6.0550, -2.061, 1.335337, 0.008057, 0.048141,-2.989124,-0.129301, 0.0183, 0.5794, 0.3449,3232768.4417
  -21.2007,   6.1270, -2.049, 1.335872, 0.008040, 0.047891,-2.909097,-0.129522, 0.0183, 0.5790, 0.3450,3517680.2214
  -20.7993,   6.1990, -2.040, 1.336110, 0.008021, 0.047688,-2.830227,-0.129724, 0.0182, 0.5785, 0.3452,3816565.1145
  -20.3982,   6.2710, -2.033, 1.336071, 0.008001, 0.047524,-2.752644,-0.129912, 0.0182, 0.5780, 0.3453,4129223.6330
  -19.9979,   6.3428, -2.028, 1.335775, 0.007980, 0.047396,-2.676463,-0.130088, 0.0182, 0.5775, 0.3455,4455385.0455
  -19.5987,   6.4144, -2.025, 1.335240, 0.007957, 0.047298,-2.601785,-0.130254, 0.0182, 0.5769, 0.3457,4794706.3271
  -19.2013,   6.4857, -2.023, 1.334485, 0.007934, 0.047225,-2.528697,-0.130413, 0.0182, 0.5763, 0.3459,5146771.5162
  -18.8060,   6.5566, -2.022, 1.333525, 0.007910, 0.047174,-2.457272,-0.130566, 0.0182, 0.5757, 0.3461,5511091.4923
  -18.4135,   6.6270, -2.022, 1.332376, 0.007886, 0.047140,-2.387575,-0.130716, 0.0182, 0.5751, 0.3463,5887104.1870
  -18.0240,   6.6969, -2.023, 1.331053, 0.007861, 0.047118,-2.319661,-0.130865, 0.0182, 0.5744, 0.3465,6274175.2384
  -17.6382,   6.7661, -2.025, 1.329570, 0.007836, 0.047106,-2.253573,-0.131015, 0.0182, 0.5738, 0.3467,6671599.0917
  -17.2565,   6.8345, -2.027, 1.327940, 0.007811, 0.047098,-2.189351,-0.131168, 0.0181, 0.5731, 0.3470,7078600.5524
  -16.8794,   6.9022, -2.029, 1.326178, 0.007788, 0.047093,-2.127024,-0.131325, 0.0181, 0.5723, 0.3473,7494336.7876
  -16.5073,   6.9690, -2.032, 1.324295, 0.007774, 0.047084,-2.066618,-0.131488, 0.0181, 0.5710, 0.3475,7917899.7736
  -16.1406,   7.0347, -2.034, 1.322305, 0.007759, 0.047070,-2.008149,-0.131660, 0.0181, 0.5698, 0.3478,8348319.1801
  -15.7799,   7.0994, -2.036, 1.320220, 0.007744, 0.047046,-1.951633,-0.131842, 0.0181, 0.5684, 0.3481,8784565.6807
  -15.4255,   7.1630, -2.038, 1.318052, 0.007729, 0.047010,-1.897077,-0.132035, 0.0181, 0.5671, 0.3484,9225554.6744
  -15.0780,   7.2254, -2.039, 1.315814, 0.007714, 0.046956,-1.844487,-0.132243, 0.0181, 0.5657, 0.3488,9670150.4005
  -14.7376,   7.2864, -2.039, 1.313517, 0.007699, 0.046882,-1.793866,-0.132467, 0.0181, 0.5642, 0.3491,10117170.4242
  -14.4049,   7.3461, -2.038, 1.311175, 0.007684, 0.046783,-1.745210,-0.132707, 0.0182, 0.5627, 0.3495,10565390.4705
