xflr5 v6.61

Main Aircraft
LoadCase1
QInf  =,  130.700000 ,m/s
Alpha = ,  15.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.449500
Cy    = ,   0.000000
Cd=,   0.065200,ICd=,    0.056875,PCd=,    0.008325
Cl   = ,6.52652e-14
Cm   =,    -1.65141
ICn=,    0.000000,PCn=,    0.000000
XCP=,    9.573592, YCP=,   -0.000000, ZCP=,    1.039605 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006,-12.378, 0.210384, 0.006555, 0.048415,-0.555372,-0.006236, 0.1818, 0.0838, 0.3009, 0.0000
  -32.4825,   4.1031,-10.951, 0.220536, 0.006561, 0.043680,-0.947518,-0.009997, 0.1754, 0.0860, 0.2975, 0.8887
  -32.4545,   4.1082,-10.486, 0.299641, 0.006643, 0.056074,-1.362628,-0.014139, 0.1322, 0.1025, 0.2965, 8.2276
  -32.4125,   4.1157,-10.088, 0.383929, 0.006653, 0.068755,-1.770178,-0.018255, 0.1067, 0.1325, 0.2960,38.1027
  -32.3567,   4.1257, -9.687, 0.467835, 0.006694, 0.080226,-2.163300,-0.022323, 0.0815, 0.1742, 0.2958,122.9897
  -32.2870,   4.1382, -9.287, 0.549750, 0.006695, 0.090209,-2.538187,-0.026367, 0.0660, 0.2363, 0.2959,317.1587
  -32.2035,   4.1532, -8.892, 0.628936, 0.006698, 0.098673,-2.892273,-0.030427, 0.0543, 0.3013, 0.2962,701.5693
  -32.1065,   4.1706, -8.507, 0.704974, 0.006704, 0.105690,-3.223702,-0.034545, 0.0449, 0.3628, 0.2967,1388.1904
  -31.9958,   4.1904, -8.135, 0.777608, 0.006752, 0.111382,-3.531191,-0.038762, 0.0400, 0.4175, 0.2975,2523.7009
  -31.8718,   4.2127, -7.780, 0.846678, 0.006799, 0.115886,-3.813857,-0.043109, 0.0381, 0.4675, 0.2986,4292.5412
