xflr5 v6.61

Main Aircraft
LoadCase1Extendedalpha
QInf  =,  130.700000 ,m/s
Alpha = ,  16.500000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.553321
Cy    = ,   0.000000
Cd=,   0.074177,ICd=,    0.065146,PCd=,    0.009031
Cl   = ,  7.036e-14
Cm   =,    -1.75683
ICn=,    0.000000,PCn=,    0.000000
XCP=,    9.543020, YCP=,   -0.000000, ZCP=,    1.041534 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006,-12.975, 0.231273, 0.006562, 0.057388,-0.591351,-0.004985, 0.1578, 0.0828, 0.2878, 0.0000
  -32.4825,   4.1031,-11.469, 0.235879, 0.006566, 0.049376,-1.008610,-0.007812, 0.1552, 0.0835, 0.2844, 0.9770
  -32.4545,   4.1082,-10.995, 0.319129, 0.006625, 0.062901,-1.450587,-0.011021, 0.1214, 0.1020, 0.2835, 8.8807
  -32.4125,   4.1157,-10.596, 0.408468, 0.006656, 0.077063,-1.884960,-0.014280, 0.0938, 0.1318, 0.2833,40.8381
  -32.3567,   4.1257,-10.197, 0.497638, 0.006703, 0.090030,-2.304447,-0.017594, 0.0714, 0.1699, 0.2834,131.4034
  -32.2870,   4.1382, -9.799, 0.584848, 0.006675, 0.101446,-2.704992,-0.021005, 0.0594, 0.2378, 0.2838,338.3265
  -32.2035,   4.1532, -9.406, 0.669278, 0.006743, 0.111247,-3.083915,-0.024557, 0.0459, 0.2920, 0.2845,747.7916
  -32.1065,   4.1706, -9.022, 0.750463, 0.006748, 0.119488,-3.439068,-0.028294, 0.0405, 0.3643, 0.2854,1479.0539
  -31.9958,   4.1904, -8.650, 0.828107, 0.006810, 0.126276,-3.769052,-0.032253, 0.0386, 0.4136, 0.2866,2688.4234
  -31.8718,   4.2127, -8.293, 0.902021, 0.006911, 0.131744,-4.072838,-0.036458, 0.0363, 0.4543, 0.2880,4572.5615
  -31.7345,   4.2373, -7.951, 0.972086, 0.006961, 0.136022,-4.349729,-0.040915, 0.0347, 0.5159, 0.2897,7371.0683
  -31.5842,   4.2643, -7.626, 1.038230, 0.007074, 0.139228,-4.599478,-0.045610, 0.0325, 0.5594, 0.2915,11368.3504
  -31.4210,   4.2936, -7.315, 1.100421, 0.007307, 0.141467,-4.822075,-0.050508, 0.0283, 0.5716, 0.2934,16894.7651
  -31.2450,   4.3251, -7.017, 1.158658, 0.007567, 0.142822,-5.017664,-0.055559, 0.0241, 0.5791, 0.2954,24327.0456
  -31.0566,   4.3589, -6.732, 1.212965, 0.007803, 0.143368,-5.186639,-0.060696, 0.0213, 0.5844, 0.2974,34088.0194
  -30.8559,   4.3949, -6.457, 1.263395, 0.008032, 0.143170,-5.329652,-0.065849, 0.0195, 0.5852, 0.2995,46645.6418
  -30.6432,   4.4331, -6.192, 1.310024, 0.008229, 0.142291,-5.447528,-0.070940, 0.0189, 0.5884, 0.3015,62511.3755
  -30.4188,   4.4733, -5.934, 1.352956, 0.008405, 0.140799,-5.541303,-0.075900, 0.0185, 0.5927, 0.3034,82237.9598
  -30.1829,   4.5157, -5.685, 1.392318, 0.008582, 0.138769,-5.612185,-0.080663, 0.0179, 0.5979, 0.3052,106416.6204
  -29.9358,   4.5600, -5.444, 1.428260, 0.008756, 0.136280,-5.661511,-0.085179, 0.0172, 0.6007, 0.3069,135673.7782
  -29.6778,   4.6063, -5.212, 1.460951, 0.008928, 0.133418,-5.690736,-0.089409, 0.0163, 0.6012, 0.3084,170667.3207
  -29.4093,   4.6544, -4.989, 1.490576, 0.009080, 0.130272,-5.701381,-0.093327, 0.0159, 0.6014, 0.3098,212082.4987
  -29.1305,   4.7045, -4.776, 1.517330, 0.009209, 0.126929,-5.695018,-0.096922, 0.0157, 0.6015, 0.3111,260627.5082
  -28.8418,   4.7563, -4.574, 1.541414, 0.009322, 0.123472,-5.673237,-0.100192, 0.0156, 0.6017, 0.3122,317028.8127
  -28.5435,   4.8098, -4.384, 1.563029, 0.009429, 0.119975,-5.637600,-0.103145, 0.0155, 0.6019, 0.3132,382026.2532
  -28.2361,   4.8649, -4.205, 1.582372, 0.009525, 0.116505,-5.589619,-0.105796, 0.0154, 0.6019, 0.3141,456367.9873
  -27.9198,   4.9216, -4.039, 1.599635, 0.009609, 0.113114,-5.530734,-0.108164, 0.0152, 0.6020, 0.3148,540805.2893
  -27.5951,   4.9799, -3.885, 1.614998, 0.009682, 0.109846,-5.462304,-0.110271, 0.0151, 0.6021, 0.3155,636087.2426
  -27.2624,   5.0396, -3.744, 1.628632, 0.009756, 0.106734,-5.385603,-0.112141, 0.0149, 0.6021, 0.3161,742955.3466
  -26.9220,   5.1006, -3.614, 1.640694, 0.009819, 0.103798,-5.301795,-0.113796, 0.0147, 0.6021, 0.3166,862138.0626
  -26.5745,   5.1630, -3.496, 1.651328, 0.009872, 0.101055,-5.211953,-0.115259, 0.0145, 0.6021, 0.3170,994345.3197
  -26.2201,   5.2266, -3.389, 1.660666, 0.009916, 0.098511,-5.117055,-0.116551, 0.0144, 0.6021, 0.3174,1140263.0026
  -25.8594,   5.2913, -3.292, 1.668829, 0.009952, 0.096169,-5.017988,-0.117692, 0.0142, 0.6021, 0.3178,1300547.4463
  -25.4927,   5.3570, -3.205, 1.675924, 0.009980, 0.094027,-4.915553,-0.118699, 0.0141, 0.6022, 0.3181,1475819.9605
  -25.1206,   5.4238, -3.127, 1.682048, 0.010001, 0.092078,-4.810472,-0.119589, 0.0140, 0.6022, 0.3184,1666661.4121
  -24.7435,   5.4915, -3.058, 1.687290, 0.010018, 0.090316,-4.703392,-0.120377, 0.0138, 0.6022, 0.3187,1873606.8929
  -24.3618,   5.5599, -2.996, 1.691729, 0.010028, 0.088731,-4.594892,-0.121074, 0.0137, 0.6022, 0.3189,2097140.5048
  -23.9760,   5.6291, -2.942, 1.695434, 0.010033, 0.087313,-4.485489,-0.121692, 0.0137, 0.6022, 0.3191,2337690.2918
  -23.5865,   5.6990, -2.894, 1.698469, 0.010032, 0.086051,-4.375644,-0.122241, 0.0136, 0.6022, 0.3193,2595623.3546
  -23.1940,   5.7694, -2.852, 1.700892, 0.010027, 0.084934,-4.265768,-0.122730, 0.0135, 0.6022, 0.3195,2871241.1793
  -22.7987,   5.8403, -2.816, 1.702754, 0.010017, 0.083950,-4.156225,-0.123167, 0.0135, 0.6022, 0.3197,3164775.2165
  -22.4013,   5.9116, -2.785, 1.704100, 0.010004, 0.083088,-4.047337,-0.123559, 0.0134, 0.6022, 0.3199,3476382.7451
  -22.0021,   5.9832, -2.758, 1.704974, 0.009988, 0.082338,-3.939391,-0.123912, 0.0134, 0.6022, 0.3201,3806143.0545
  -21.6018,   6.0550, -2.735, 1.705414, 0.009969, 0.081690,-3.832636,-0.124231, 0.0134, 0.6022, 0.3203,4154053.9794
  -21.2007,   6.1270, -2.716, 1.705453, 0.009947, 0.081134,-3.727295,-0.124521, 0.0133, 0.6021, 0.3205,4520028.8199
  -20.7993,   6.1990, -2.701, 1.705124, 0.009923, 0.080659,-3.623561,-0.124786, 0.0133, 0.6021, 0.3207,4903893.6781
  -20.3982,   6.2710, -2.688, 1.704455, 0.009897, 0.080258,-3.521602,-0.125031, 0.0133, 0.6021, 0.3209,5305385.2396
  -19.9979,   6.3428, -2.678, 1.703475, 0.009872, 0.079921,-3.421566,-0.125259, 0.0132, 0.6020, 0.3210,5724149.0276
  -19.5987,   6.4144, -2.671, 1.702207, 0.009849, 0.079640,-3.323581,-0.125472, 0.0132, 0.6020, 0.3212,6159738.1530
