xflr5 v6.61

Main Aircraft
LoadCase1
QInf  =,  130.700000 ,m/s
Alpha = ,   2.500000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.533036
Cy    = ,   0.000000
Cd=,   0.014005,ICd=,    0.007630,PCd=,    0.006376
Cl   = , 2.1708e-14
Cm   =,   -0.681619
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,   10.661833, YCP=,   -0.000000, ZCP=,    1.031315 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006, -7.017, 0.061644, 0.006422, 0.006250,-0.226941,-0.016613, 0.2947, 0.0575, 0.5992, 0.0000
  -32.4825,   4.1031, -6.321, 0.084230, 0.006453, 0.009083,-0.389457,-0.028165, 0.2723, 0.0602, 0.5962, 0.2605
  -32.4545,   4.1082, -5.944, 0.118149, 0.006491, 0.012185,-0.559012,-0.040085, 0.2439, 0.0654, 0.5931, 2.9010
  -32.4125,   4.1157, -5.560, 0.151964, 0.006522, 0.014725,-0.721988,-0.051329, 0.2184, 0.0711, 0.5893,14.2771
  -32.3567,   4.1257, -5.158, 0.184406, 0.006538, 0.016605,-0.875010,-0.061644, 0.1975, 0.0779, 0.5849,47.2121
  -32.2870,   4.1382, -4.753, 0.215050, 0.006554, 0.017853,-1.016432,-0.070925, 0.1781, 0.0846, 0.5800,122.9544
  -32.2035,   4.1532, -4.356, 0.243725, 0.006578, 0.018546,-1.145463,-0.079149, 0.1607, 0.0902, 0.5747,272.8275
  -32.1065,   4.1706, -3.976, 0.270390, 0.006605, 0.018782,-1.261905,-0.086348, 0.1464, 0.0957, 0.5691,539.5674
  -31.9958,   4.1904, -3.621, 0.295090, 0.006629, 0.018666,-1.365975,-0.092595, 0.1332, 0.1007, 0.5635,978.3617
  -31.8718,   4.2127, -3.295, 0.317919, 0.006627, 0.018298,-1.458175,-0.097986, 0.1256, 0.1083, 0.5578,1657.6191
  -31.7345,   4.2373, -3.000, 0.339000, 0.006625, 0.017763,-1.539159,-0.102626, 0.1193, 0.1153, 0.5523,2659.4993
  -31.5842,   4.2643, -2.736, 0.358466, 0.006622, 0.017130,-1.609664,-0.106622, 0.1134, 0.1217, 0.5470,4080.2362
  -31.4210,   4.2936, -2.503, 0.376452, 0.006623, 0.016452,-1.670443,-0.110071, 0.1077, 0.1278, 0.5420,6030.2772
  -31.2450,   4.3251, -2.296, 0.393082, 0.006634, 0.015762,-1.722227,-0.113062, 0.1018, 0.1332, 0.5372,8634.2575
  -31.0566,   4.3589, -2.115, 0.408472, 0.006643, 0.015085,-1.765703,-0.115669, 0.0963, 0.1381, 0.5327,12030.8214
  -30.8559,   4.3949, -1.956, 0.422724, 0.006651, 0.014434,-1.801507,-0.117951, 0.0912, 0.1424, 0.5286,16372.2979
  -30.6432,   4.4331, -1.815, 0.435928, 0.006658, 0.013816,-1.830225,-0.119957, 0.0865, 0.1463, 0.5248,21824.2353
  -30.4188,   4.4733, -1.691, 0.448165, 0.006655, 0.013235,-1.852401,-0.121728, 0.0832, 0.1532, 0.5212,28564.8009
  -30.1829,   4.5157, -1.582, 0.459508, 0.006651, 0.012690,-1.868543,-0.123292, 0.0806, 0.1603, 0.5179,36784.0507
  -29.9358,   4.5600, -1.485, 0.470023, 0.006646, 0.012181,-1.879130,-0.124677, 0.0781, 0.1665, 0.5149,46683.0745
  -29.6778,   4.6063, -1.398, 0.479771, 0.006641, 0.011709,-1.884617,-0.125902, 0.0758, 0.1721, 0.5120,58473.0244
  -29.4093,   4.6544, -1.321, 0.488810, 0.006636, 0.011270,-1.885440,-0.126986, 0.0737, 0.1771, 0.5094,72374.0344
  -29.1305,   4.7045, -1.252, 0.497192, 0.006632, 0.010866,-1.882015,-0.127943, 0.0717, 0.1814, 0.5070,88614.0383
  -28.8418,   4.7563, -1.191, 0.504967, 0.006627, 0.010495,-1.874736,-0.128788, 0.0698, 0.1852, 0.5047,107427.4938
  -28.5435,   4.8098, -1.136, 0.512181, 0.006623, 0.010157,-1.863978,-0.129533, 0.0683, 0.1885, 0.5026,129054.0196
  -28.2361,   4.8649, -1.087, 0.518878, 0.006620, 0.009850,-1.850096,-0.130189, 0.0669, 0.1914, 0.5006,153736.9526
  -27.9198,   4.9216, -1.044, 0.525098, 0.006616, 0.009573,-1.833420,-0.130767, 0.0656, 0.1938, 0.4987,181721.8300
  -27.5951,   4.9799, -1.006, 0.530876, 0.006613, 0.009327,-1.814262,-0.131276, 0.0643, 0.1958, 0.4970,213254.8041
  -27.2624,   5.0396, -0.973, 0.536246, 0.006609, 0.009109,-1.792909,-0.131724, 0.0631, 0.1974, 0.4954,248580.9950
  -26.9220,   5.1006, -0.944, 0.541238, 0.006605, 0.008917,-1.769629,-0.132119, 0.0620, 0.1986, 0.4938,287942.7874
  -26.5745,   5.1630, -0.918, 0.545879, 0.006601, 0.008752,-1.744668,-0.132467, 0.0609, 0.1994, 0.4924,331578.0799
  -26.2201,   5.2266, -0.896, 0.550195, 0.006597, 0.008611,-1.718254,-0.132774, 0.0599, 0.1999, 0.4911,379718.4927
  -25.8594,   5.2913, -0.878, 0.554206, 0.006592, 0.008492,-1.690596,-0.133045, 0.0589, 0.2001, 0.4898,432587.5453
  -25.4927,   5.3570, -0.862, 0.557932, 0.006588, 0.008394,-1.661886,-0.133286, 0.0579, 0.2001, 0.4887,490398.8101
  -25.1206,   5.4238, -0.848, 0.561392, 0.006584, 0.008315,-1.632300,-0.133499, 0.0570, 0.1997, 0.4876,553354.0567
  -24.7435,   5.4915, -0.837, 0.564601, 0.006579, 0.008255,-1.601999,-0.133690, 0.0561, 0.1991, 0.4866,621641.3941
  -24.3618,   5.5599, -0.829, 0.567573, 0.006575, 0.008210,-1.571132,-0.133859, 0.0553, 0.1983, 0.4857,695433.4261
  -23.9760,   5.6291, -0.822, 0.570322, 0.006570, 0.008181,-1.539834,-0.134011, 0.0545, 0.1973, 0.4848,774885.4313
  -23.5865,   5.6990, -0.816, 0.572858, 0.006565, 0.008165,-1.508228,-0.134148, 0.0537, 0.1960, 0.4840,860133.5811
  -23.1940,   5.7694, -0.813, 0.575192, 0.006560, 0.008161,-1.476427,-0.134272, 0.0530, 0.1946, 0.4833,951293.2109
  -22.7987,   5.8403, -0.810, 0.577335, 0.006555, 0.008168,-1.444535,-0.134384, 0.0523, 0.1930, 0.4827,1048457.1566
  -22.4013,   5.9116, -0.809, 0.579294, 0.006550, 0.008184,-1.412646,-0.134487, 0.0516, 0.1913, 0.4821,1151694.1724
  -22.0021,   5.9832, -0.809, 0.581078, 0.006545, 0.008209,-1.380846,-0.134581, 0.0509, 0.1894, 0.4815,1261047.4445
  -21.6018,   6.0550, -0.810, 0.582695, 0.006540, 0.008241,-1.349212,-0.134669, 0.0504, 0.1877, 0.4810,1376533.2127
  -21.2007,   6.1270, -0.812, 0.584151, 0.006534, 0.008279,-1.317818,-0.134751, 0.0498, 0.1859, 0.4806,1498139.5167
  -20.7993,   6.1990, -0.814, 0.585453, 0.006529, 0.008323,-1.286725,-0.134828, 0.0493, 0.1840, 0.4802,1625825.0778
  -20.3982,   6.2710, -0.817, 0.586607, 0.006523, 0.008371,-1.255994,-0.134902, 0.0489, 0.1819, 0.4799,1759518.3310
  -19.9979,   6.3428, -0.821, 0.587619, 0.006517, 0.008422,-1.225678,-0.134974, 0.0484, 0.1798, 0.4797,1899116.6173
  -19.5987,   6.4144, -0.825, 0.588496, 0.006512, 0.008476,-1.195823,-0.135044, 0.0480, 0.1775, 0.4795,2044485.5488
  -19.2013,   6.4857, -0.829, 0.589242, 0.006506, 0.008531,-1.166474,-0.135113, 0.0475, 0.1752, 0.4793,2195458.5557
  -18.8060,   6.5566, -0.834, 0.589863, 0.006500, 0.008586,-1.137668,-0.135182, 0.0471, 0.1728, 0.4792,2351836.6235
  -18.4135,   6.6270, -0.838, 0.590364, 0.006495, 0.008642,-1.109441,-0.135252, 0.0467, 0.1704, 0.4791,2513388.2285
  -18.0240,   6.6969, -0.843, 0.590751, 0.006489, 0.008696,-1.081823,-0.135325, 0.0463, 0.1678, 0.4791,2679849.4763
  -17.6382,   6.7661, -0.848, 0.591029, 0.006483, 0.008749,-1.054841,-0.135400, 0.0459, 0.1653, 0.4791,2850924.4486
  -17.2565,   6.8345, -0.852, 0.591203, 0.006478, 0.008799,-1.028521,-0.135479, 0.0456, 0.1627, 0.4792,3026285.7602
  -16.8794,   6.9022, -0.857, 0.591278, 0.006472, 0.008845,-1.002883,-0.135563, 0.0453, 0.1606, 0.4793,3205575.3273
  -16.5073,   6.9690, -0.861, 0.591259, 0.006467, 0.008887,-0.977946,-0.135652, 0.0452, 0.1601, 0.4795,3388405.3460
  -16.1406,   7.0347, -0.865, 0.591152, 0.006461, 0.008924,-0.953727,-0.135748, 0.0452, 0.1595, 0.4797,3574359.4791
  -15.7799,   7.0994, -0.868, 0.590961, 0.006456, 0.008954,-0.930239,-0.135852, 0.0451, 0.1589, 0.4800,3762994.2464
  -15.4255,   7.1630, -0.870, 0.590693, 0.006450, 0.008977,-0.907494,-0.135964, 0.0451, 0.1583, 0.4803,3953840.6123
  -15.0780,   7.2254, -0.872, 0.590352, 0.006445, 0.008992,-0.885502,-0.136086, 0.0451, 0.1577, 0.4806,4146405.7633
  -14.7376,   7.2864, -0.874, 0.589944, 0.006440, 0.008997,-0.864272,-0.136218, 0.0450, 0.1570, 0.4810,4340175.0663
