xflr5 v6.61

Main Aircraft
LoadCase1Extendedalpha
QInf  =,  130.700000 ,m/s
Alpha = ,  20.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.788778
Cy    = ,   0.000000
Cd=,   0.095865,ICd=,    0.085666,PCd=,    0.010199
Cl   = ,8.23919e-14
Cm   =,     -1.9891
ICn=,    0.000000,PCn=,    0.000000
XCP=,    9.498734, YCP=,   -0.000000, ZCP=,    1.046651 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006,-14.324, 0.281718, 0.006605, 0.082073,-0.670946,-0.002111, 0.1355, 0.0929, 0.2630, 0.0000
  -32.4825,   4.1031,-12.638, 0.270183, 0.006595, 0.063726,-1.143674,-0.002801, 0.1404, 0.0905, 0.2596, 1.1900
  -32.4545,   4.1082,-12.146, 0.361849, 0.006637, 0.079668,-1.645050,-0.003869, 0.1079, 0.1140, 0.2591,10.3891
  -32.4125,   4.1157,-11.748, 0.461916, 0.006681, 0.097322,-2.138726,-0.005164, 0.0794, 0.1553, 0.2593,47.0021
  -32.3567,   4.1257,-11.354, 0.562376, 0.006688, 0.113906,-2.616518,-0.006750, 0.0622, 0.2189, 0.2600,150.1095
  -32.2870,   4.1382,-10.963, 0.660991, 0.006744, 0.128841,-3.073994,-0.008703, 0.0466, 0.2850, 0.2611,385.0274
  -32.2035,   4.1532,-10.575, 0.756750, 0.006751, 0.141964,-3.507826,-0.011084, 0.0404, 0.3706, 0.2625,849.2938
  -32.1065,   4.1706,-10.194, 0.849069, 0.006845, 0.153275,-3.915677,-0.013939, 0.0380, 0.4244, 0.2642,1677.9963
  -31.9958,   4.1904, -9.822, 0.937567, 0.006952, 0.162846,-4.295608,-0.017296, 0.0352, 0.4820, 0.2661,3048.3759
  -31.8718,   4.2127, -9.461, 1.021987, 0.007034, 0.170783,-4.646210,-0.021159, 0.0334, 0.5564, 0.2683,5183.6585
  -31.7345,   4.2373, -9.112, 1.102148, 0.007329, 0.177202,-4.966747,-0.025511, 0.0283, 0.5725, 0.2707,8356.0804
  -31.5842,   4.2643, -8.774, 1.177931, 0.007671, 0.182212,-5.256492,-0.030309, 0.0232, 0.5818, 0.2732,12889.0873
  -31.4210,   4.2936, -8.448, 1.249263, 0.007996, 0.185914,-5.515147,-0.035487, 0.0202, 0.5859, 0.2758,19158.6973
  -31.2450,   4.3251, -8.132, 1.316112, 0.008293, 0.188393,-5.742771,-0.040961, 0.0189, 0.5899, 0.2785,27594.0272
  -31.0566,   4.3589, -7.824, 1.378480, 0.008574, 0.189730,-5.939732,-0.046633, 0.0182, 0.5965, 0.2811,38676.9967
  -30.8559,   4.3949, -7.523, 1.436406, 0.008868, 0.190002,-6.106683,-0.052400, 0.0171, 0.6010, 0.2837,52941.2322
  -30.6432,   4.4331, -7.229, 1.489963, 0.009159, 0.189290,-6.244500,-0.058158, 0.0160, 0.6018, 0.2862,70970.2092
  -30.4188,   4.4733, -6.942, 1.539255, 0.009410, 0.187685,-6.354285,-0.063811, 0.0157, 0.6022, 0.2885,93394.6833
  -30.1829,   4.5157, -6.660, 1.584420, 0.009650, 0.185287,-6.437405,-0.069272, 0.0154, 0.6024, 0.2908,120889.4702
  -29.9358,   4.5600, -6.386, 1.625625, 0.009878, 0.182211,-6.495389,-0.074473, 0.0151, 0.6024, 0.2928,154169.6456
  -29.6778,   4.6063, -6.120, 1.663060, 0.010112, 0.178576,-6.529925,-0.079361, 0.0146, 0.6023, 0.2947,193986.2392
  -29.4093,   4.6544, -5.863, 1.696938, 0.010336, 0.174509,-6.542777,-0.083901, 0.0142, 0.6026, 0.2964,241121.4971
  -29.1305,   4.7045, -5.616, 1.727481, 0.010546, 0.170132,-6.535775,-0.088075, 0.0137, 0.6030, 0.2979,296383.7844
  -28.8418,   4.7563, -5.381, 1.754922, 0.010731, 0.165565,-6.510759,-0.091877, 0.0133, 0.6035, 0.2992,360602.1932
  -28.5435,   4.8098, -5.159, 1.779495, 0.010893, 0.160913,-6.469557,-0.095316, 0.0131, 0.6047, 0.3004,434620.9111
  -28.2361,   4.8649, -4.950, 1.801430, 0.011033, 0.156269,-6.413943,-0.098405, 0.0130, 0.6056, 0.3015,519293.3996
  -27.9198,   4.9216, -4.755, 1.820949, 0.011154, 0.151711,-6.345610,-0.101166, 0.0129, 0.6064, 0.3024,615476.4218
  -27.5951,   4.9799, -4.573, 1.838264, 0.011263, 0.147301,-6.266155,-0.103625, 0.0128, 0.6071, 0.3032,724023.9522
  -27.2624,   5.0396, -4.406, 1.853573, 0.011355, 0.143084,-6.177065,-0.105807, 0.0128, 0.6076, 0.3039,845780.9979
  -26.9220,   5.1006, -4.252, 1.867060, 0.011433, 0.139096,-6.079711,-0.107738, 0.0127, 0.6080, 0.3046,981577.3586
  -26.5745,   5.1630, -4.112, 1.878895, 0.011497, 0.135357,-5.975353,-0.109446, 0.0127, 0.6083, 0.3051,1132221.3475
  -26.2201,   5.2266, -3.985, 1.889232, 0.011550, 0.131879,-5.865140,-0.110954, 0.0127, 0.6084, 0.3056,1298493.5023
  -25.8594,   5.2913, -3.869, 1.898212, 0.011596, 0.128668,-5.750111,-0.112286, 0.0126, 0.6083, 0.3060,1481140.3094
  -25.4927,   5.3570, -3.765, 1.905961, 0.011633, 0.125720,-5.631202,-0.113461, 0.0126, 0.6083, 0.3064,1680867.9708
  -25.1206,   5.4238, -3.672, 1.912594, 0.011660, 0.123031,-5.509257,-0.114499, 0.0126, 0.6083, 0.3068,1898336.2448
  -24.7435,   5.4915, -3.588, 1.918213, 0.011677, 0.120591,-5.385030,-0.115417, 0.0125, 0.6082, 0.3071,2134152.3898
  -24.3618,   5.5599, -3.514, 1.922911, 0.011685, 0.118387,-5.259197,-0.116228, 0.0125, 0.6081, 0.3074,2388865.2488
  -23.9760,   5.6291, -3.448, 1.926771, 0.011686, 0.116407,-5.132363,-0.116948, 0.0125, 0.6079, 0.3077,2662959.5072
  -23.5865,   5.6990, -3.390, 1.929866, 0.011680, 0.114636,-5.005062,-0.117587, 0.0125, 0.6076, 0.3079,2956850.1630
  -23.1940,   5.7694, -3.339, 1.932264, 0.011668, 0.113059,-4.877773,-0.118155, 0.0124, 0.6074, 0.3081,3270877.2465
  -22.7987,   5.8403, -3.295, 1.934026, 0.011650, 0.111662,-4.750918,-0.118662, 0.0124, 0.6070, 0.3084,3605300.8296
  -22.4013,   5.9116, -3.256, 1.935205, 0.011627, 0.110431,-4.624869,-0.119117, 0.0124, 0.6067, 0.3086,3960296.3605
  -22.0021,   5.9832, -3.223, 1.935850, 0.011599, 0.109351,-4.499957,-0.119525, 0.0124, 0.6063, 0.3088,4335950.3666
  -21.6018,   6.0550, -3.195, 1.936007, 0.011567, 0.108408,-4.376472,-0.119893, 0.0124, 0.6059, 0.3090,4732256.5592
  -21.2007,   6.1270, -3.171, 1.935715, 0.011532, 0.107590,-4.254666,-0.120227, 0.0124, 0.6055, 0.3092,5149112.3791
  -20.7993,   6.1990, -3.151, 1.935012, 0.011493, 0.106884,-4.134764,-0.120532, 0.0124, 0.6051, 0.3094,5586316.0162
  -20.3982,   6.2710, -3.135, 1.933931, 0.011452, 0.106277,-4.016956,-0.120813, 0.0124, 0.6046, 0.3096,6043563.9370
  -19.9979,   6.3428, -3.121, 1.932504, 0.011414, 0.105759,-3.901415,-0.121073, 0.0124, 0.6043, 0.3098,6520448.9480
  -19.5987,   6.4144, -3.111, 1.930760, 0.011383, 0.105319,-3.788284,-0.121316, 0.0123, 0.6042, 0.3100,7016458.8242
  -19.2013,   6.4857, -3.103, 1.928725, 0.011349, 0.104947,-3.677684,-0.121546, 0.0123, 0.6041, 0.3102,7530975.5240
  -18.8060,   6.5566, -3.097, 1.926426, 0.011314, 0.104632,-3.569719,-0.121766, 0.0123, 0.6039, 0.3104,8063275.0114
  -18.4135,   6.6270, -3.093, 1.923885, 0.011277, 0.104366,-3.464478,-0.121979, 0.0123, 0.6038, 0.3106,8612527.7013
  -18.0240,   6.6969, -3.091, 1.921126, 0.011239, 0.104139,-3.362033,-0.122188, 0.0123, 0.6037, 0.3108,9177799.5390
  -17.6382,   6.7661, -3.089, 1.918170, 0.011200, 0.103944,-3.262445,-0.122395, 0.0123, 0.6036, 0.3110,9758053.7206
  -17.2565,   6.8345, -3.089, 1.915037, 0.011160, 0.103772,-3.165761,-0.122604, 0.0123, 0.6035, 0.3112,10352153.0573
  -16.8794,   6.9022, -3.090, 1.911747, 0.011155, 0.103615,-3.072032,-0.122817, 0.0125, 0.5954, 0.3115,10958862.9801
  -16.5073,   6.9690, -3.090, 1.908320, 0.011261, 0.103466,-2.981309,-0.123037, 0.0135, 0.5621, 0.3117,11576855.1786
  -16.1406,   7.0347, -3.091, 1.904773, 0.011363, 0.103317,-2.893573,-0.123266, 0.0145, 0.5294, 0.3119,12204711.8605
  -15.7799,   7.0994, -3.092, 1.901126, 0.011461, 0.103162,-2.808836,-0.123507, 0.0154, 0.4971, 0.3122,12840930.6154
  -15.4255,   7.1630, -3.093, 1.897395, 0.011555, 0.102992,-2.727105,-0.123762, 0.0162, 0.4654, 0.3125,13483929.8606
  -15.0780,   7.2254, -3.093, 1.893600, 0.011646, 0.102801,-2.648380,-0.124035, 0.0170, 0.4342, 0.3128,14132054.8422
  -14.7376,   7.2864, -3.093, 1.889757, 0.011732, 0.102582,-2.572658,-0.124327, 0.0178, 0.4037, 0.3131,14783584.1618
  -14.4049,   7.3461, -3.091, 1.885884, 0.011815, 0.102327,-2.499928,-0.124641, 0.0185, 0.3739, 0.3134,15436736.7916
  -14.0802,   7.4044, -3.088, 1.881997, 0.011895, 0.102030,-2.430178,-0.124979, 0.0192, 0.3447, 0.3137,16089679.5405
  -13.7639,   7.4611, -3.084, 1.878115, 0.011970, 0.101682,-2.363393,-0.125344, 0.0198, 0.3163, 0.3140,16740534.9284
  -13.4565,   7.5162, -3.077, 1.874254, 0.012042, 0.101277,-2.299554,-0.125737, 0.0204, 0.2886, 0.3144,17387389.4216
  -13.1582,   7.5697, -3.069, 1.870431, 0.012112, 0.100805,-2.238639,-0.126161, 0.0209, 0.2618, 0.3148,18028301.9830
  -12.8695,   7.6215, -3.058, 1.866664, 0.012178, 0.100259,-2.180626,-0.126616, 0.0214, 0.2359, 0.3151,18661312.8839
  -12.5907,   7.6716, -3.044, 1.862970, 0.012242, 0.099629,-2.125489,-0.127104, 0.0219, 0.2108, 0.3155,19284452.7263
  -12.3222,   7.7197, -3.027, 1.859365, 0.012302, 0.098905,-2.073203,-0.127625, 0.0223, 0.1866, 0.3160,19895751.6196
  -12.0642,   7.7660, -3.007, 1.855867, 0.012359, 0.098077,-2.023739,-0.128181, 0.0227, 0.1634, 0.3164,20493248.4589
  -11.8171,   7.8103, -2.983, 1.852492, 0.012413, 0.097134,-1.977069,-0.128770, 0.0230, 0.1411, 0.3168,21075000.2462
  -11.5812,   7.8527, -2.955, 1.849258, 0.012463, 0.096061,-1.933165,-0.129392, 0.0234, 0.1198, 0.3173,21639091.4012
  -11.3568,   7.8929, -2.921, 1.846182, 0.012511, 0.094846,-1.891999,-0.130046, 0.0237, 0.0996, 0.3178,22183643.0041
  -11.1441,   7.9311, -2.883, 1.843280, 0.012556, 0.093473,-1.853540,-0.130731, 0.0239, 0.0803, 0.3182,22706821.9179
