xflr5 v6.61

Main Aircraft
LoadCase1Extendedalpha
QInf  =,  130.700000 ,m/s
Alpha = ,  20.500000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.821587
Cy    = ,   0.000000
Cd=,   0.099080,ICd=,    0.088705,PCd=,    0.010375
Cl   = ,8.41497e-14
Cm   =,    -2.02057
ICn=,    0.000000,PCn=,    0.000000
XCP=,    9.494918, YCP=,   -0.000000, ZCP=,    1.047449 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006,-14.511, 0.289087, 0.006611, 0.086035,-0.681766,-0.001708, 0.1323, 0.0944, 0.2600, 0.0000
  -32.4825,   4.1031,-12.801, 0.274890, 0.006599, 0.065885,-1.162027,-0.002098, 0.1384, 0.0915, 0.2566, 1.2211
  -32.4545,   4.1082,-12.307, 0.367610, 0.006639, 0.082139,-1.671471,-0.002867, 0.1061, 0.1156, 0.2561,10.6018
  -32.4125,   4.1157,-11.909, 0.469081, 0.006685, 0.100289,-2.173210,-0.003885, 0.0778, 0.1584, 0.2564,47.8538
  -32.3567,   4.1257,-11.516, 0.571033, 0.006684, 0.117398,-2.658926,-0.005229, 0.0611, 0.2265, 0.2571,152.6640
  -32.2870,   4.1382,-11.125, 0.671162, 0.006744, 0.132849,-3.124146,-0.006978, 0.0458, 0.2947, 0.2583,391.3616
  -32.2035,   4.1532,-10.738, 0.768428, 0.006754, 0.146464,-3.565465,-0.009194, 0.0402, 0.3799, 0.2598,863.0033
  -32.1065,   4.1706,-10.358, 0.862231, 0.006866, 0.158234,-3.980505,-0.011924, 0.0376, 0.4302, 0.2616,1704.7948
  -31.9958,   4.1904, -9.986, 0.952178, 0.006960, 0.168223,-4.367229,-0.015195, 0.0350, 0.4972, 0.2637,3096.7777
  -31.8718,   4.2127, -9.625, 1.038000, 0.007086, 0.176534,-4.724260,-0.019009, 0.0326, 0.5602, 0.2659,5265.7328
  -31.7345,   4.2373, -9.274, 1.119510, 0.007409, 0.183278,-5.050758,-0.023344, 0.0270, 0.5749, 0.2684,8488.2647
  -31.5842,   4.2643, -8.936, 1.196582, 0.007756, 0.188565,-5.345948,-0.028154, 0.0222, 0.5839, 0.2710,13093.0462
  -31.4210,   4.2936, -8.607, 1.269137, 0.008092, 0.192492,-5.609530,-0.033368, 0.0195, 0.5864, 0.2737,19462.2100
  -31.2450,   4.3251, -8.288, 1.337137, 0.008386, 0.195146,-5.841525,-0.038898, 0.0187, 0.5918, 0.2764,28031.8901
  -31.0566,   4.3589, -7.977, 1.400584, 0.008683, 0.196607,-6.042319,-0.044643, 0.0178, 0.5993, 0.2791,39291.9229
  -30.8559,   4.3949, -7.673, 1.459514, 0.009001, 0.196956,-6.212556,-0.050493, 0.0165, 0.6014, 0.2818,53784.7353
  -30.6432,   4.4331, -7.375, 1.513997, 0.009290, 0.196274,-6.353090,-0.056342, 0.0158, 0.6021, 0.2843,72103.4543
  -30.4188,   4.4733, -7.083, 1.564141, 0.009552, 0.194657,-6.465065,-0.062088, 0.0155, 0.6024, 0.2868,94889.2932
  -30.1829,   4.5157, -6.798, 1.610083, 0.009800, 0.192209,-6.549857,-0.067644, 0.0153, 0.6025, 0.2890,122828.2740
  -29.9358,   4.5600, -6.519, 1.651992, 0.010057, 0.189048,-6.609043,-0.072939, 0.0148, 0.6025, 0.2911,156647.3588
  -29.6778,   4.6063, -6.248, 1.690062, 0.010299, 0.185300,-6.644306,-0.077916, 0.0143, 0.6025, 0.2930,197110.0664
  -29.4093,   4.6544, -5.986, 1.724508, 0.010541, 0.181097,-6.657466,-0.082541, 0.0137, 0.6030, 0.2947,245011.6496
  -29.1305,   4.7045, -5.735, 1.755557, 0.010754, 0.176569,-6.650370,-0.086793, 0.0133, 0.6036, 0.2963,301173.9064
  -28.8418,   4.7563, -5.495, 1.783447, 0.010941, 0.171836,-6.624906,-0.090668, 0.0131, 0.6049, 0.2977,366439.6918
  -28.5435,   4.8098, -5.268, 1.808415, 0.011105, 0.167013,-6.582938,-0.094172, 0.0129, 0.6061, 0.2989,441667.1870
  -28.2361,   4.8649, -5.055, 1.830696, 0.011250, 0.162194,-6.526279,-0.097321, 0.0128, 0.6071, 0.3000,527723.9755
  -27.9198,   4.9216, -4.855, 1.850515, 0.011379, 0.157462,-6.456654,-0.100136, 0.0128, 0.6079, 0.3009,625480.9670
  -27.5951,   4.9799, -4.670, 1.868090, 0.011490, 0.152881,-6.375689,-0.102643, 0.0127, 0.6086, 0.3018,735806.2015
  -27.2624,   5.0396, -4.499, 1.883622, 0.011584, 0.148500,-6.284902,-0.104867, 0.0127, 0.6091, 0.3025,859558.5660
  -26.9220,   5.1006, -4.342, 1.897298, 0.011671, 0.144354,-6.185699,-0.106836, 0.0127, 0.6093, 0.3031,997581.4478
  -26.5745,   5.1630, -4.199, 1.909292, 0.011746, 0.140466,-6.079362,-0.108578, 0.0126, 0.6096, 0.3037,1150696.3512
  -26.2201,   5.2266, -4.069, 1.919761, 0.011808, 0.136848,-5.967057,-0.110115, 0.0126, 0.6098, 0.3042,1319696.5030
  -25.8594,   5.2913, -3.951, 1.928849, 0.011857, 0.133506,-5.849845,-0.111473, 0.0125, 0.6099, 0.3046,1505340.4742
  -25.4927,   5.3570, -3.844, 1.936684, 0.011893, 0.130438,-5.728682,-0.112671, 0.0125, 0.6099, 0.3050,1708345.8450
  -25.1206,   5.4238, -3.749, 1.943382, 0.011919, 0.127638,-5.604428,-0.113729, 0.0125, 0.6099, 0.3054,1929382.9459
  -24.7435,   5.4915, -3.663, 1.949050, 0.011935, 0.125096,-5.477855,-0.114664, 0.0124, 0.6098, 0.3057,2169068.7050
  -24.3618,   5.5599, -3.587, 1.953781, 0.011943, 0.122799,-5.349652,-0.115491, 0.0124, 0.6096, 0.3060,2427960.6379
  -23.9760,   5.6291, -3.519, 1.957660, 0.011946, 0.120734,-5.220435,-0.116225, 0.0124, 0.6094, 0.3063,2706551.0155
  -23.5865,   5.6990, -3.460, 1.960761, 0.011941, 0.118886,-5.090748,-0.116876, 0.0124, 0.6092, 0.3065,3005261.2483
  -23.1940,   5.7694, -3.408, 1.963155, 0.011928, 0.117240,-4.961078,-0.117455, 0.0123, 0.6089, 0.3068,3324436.5244
  -22.7987,   5.8403, -3.362, 1.964901, 0.011909, 0.115781,-4.831855,-0.117971, 0.0123, 0.6086, 0.3070,3664340.7416
  -22.4013,   5.9116, -3.323, 1.966056, 0.011883, 0.114494,-4.703460,-0.118434, 0.0123, 0.6082, 0.3072,4025151.7735
