xflr5 v6.61

Main Aircraft
LoadCase1
QInf  =,  130.700000 ,m/s
Alpha = ,   5.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.721951
Cy    = ,   0.000000
Cd=,   0.020568,ICd=,    0.014091,PCd=,    0.006477
Cl   = ,3.04904e-14
Cm   =,   -0.884233
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,   10.189315, YCP=,   -0.000000, ZCP=,    1.031556 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006, -8.137, 0.087057, 0.006457, 0.010697,-0.295203,-0.014594, 0.2696, 0.0606, 0.4822, 0.0000
  -32.4825,   4.1031, -7.287, 0.112063, 0.006485, 0.014035,-0.505489,-0.024622, 0.2486, 0.0644, 0.4789, 0.3678
  -32.4545,   4.1082, -6.890, 0.156335, 0.006526, 0.018758,-0.726088,-0.035024, 0.2153, 0.0719, 0.4763, 3.9247
  -32.4125,   4.1157, -6.501, 0.201209, 0.006549, 0.022854,-0.939872,-0.044878, 0.1872, 0.0817, 0.4733,19.0782
  -32.3567,   4.1257, -6.098, 0.244793, 0.006582, 0.026107,-1.142710,-0.053976, 0.1606, 0.0906, 0.4700,62.8245
  -32.2870,   4.1382, -5.692, 0.286477, 0.006626, 0.028526,-1.332521,-0.062241, 0.1384, 0.0993, 0.4663,163.4385
  -32.2035,   4.1532, -5.293, 0.325993, 0.006636, 0.030185,-1.508156,-0.069661, 0.1240, 0.1115, 0.4626,362.8128
  -32.1065,   4.1706, -4.910, 0.363233, 0.006634, 0.031197,-1.669072,-0.076272, 0.1129, 0.1243, 0.4587,718.4269
  -31.9958,   4.1904, -4.550, 0.398181, 0.006655, 0.031684,-1.815170,-0.082140, 0.1012, 0.1367, 0.4550,1304.9487
  -31.8718,   4.2127, -4.217, 0.430884, 0.006681, 0.031767,-1.946678,-0.087348, 0.0898, 0.1481, 0.4514,2215.4847
  -31.7345,   4.2373, -3.912, 0.461421, 0.006682, 0.031551,-2.064033,-0.091984, 0.0821, 0.1672, 0.4480,3562.5014
  -31.5842,   4.2643, -3.635, 0.489890, 0.006677, 0.031125,-2.167783,-0.096134, 0.0759, 0.1873, 0.4449,5478.4393
  -31.4210,   4.2936, -3.386, 0.516396, 0.006675, 0.030555,-2.258543,-0.099872, 0.0705, 0.2060, 0.4420,8116.0420
  -31.2450,   4.3251, -3.162, 0.541041, 0.006676, 0.029893,-2.336952,-0.103262, 0.0664, 0.2235, 0.4395,11648.4126
  -31.0566,   4.3589, -2.961, 0.563925, 0.006677, 0.029171,-2.403656,-0.106351, 0.0625, 0.2394, 0.4372,16268.8126
  -30.8559,   4.3949, -2.779, 0.585142, 0.006678, 0.028412,-2.459296,-0.109176, 0.0590, 0.2541, 0.4352,22190.2115
  -30.6432,   4.4331, -2.615, 0.604781, 0.006675, 0.027632,-2.504508,-0.111763, 0.0562, 0.2690, 0.4335,29644.5989
  -30.4188,   4.4733, -2.467, 0.622928, 0.006673, 0.026840,-2.539927,-0.114132, 0.0537, 0.2825, 0.4319,38882.0698
  -30.1829,   4.5157, -2.331, 0.639667, 0.006670, 0.026045,-2.566192,-0.116297, 0.0514, 0.2946, 0.4305,50169.6994
  -29.9358,   4.5600, -2.207, 0.655080, 0.006668, 0.025254,-2.583943,-0.118267, 0.0494, 0.3050, 0.4293,63790.2207
  -29.6778,   4.6063, -2.094, 0.669251, 0.006668, 0.024473,-2.593821,-0.120054, 0.0478, 0.3134, 0.4281,80040.5256
  -29.4093,   4.6544, -1.990, 0.682259, 0.006668, 0.023708,-2.596464,-0.121667, 0.0463, 0.3206, 0.4271,99230.0058
  -29.1305,   4.7045, -1.894, 0.694187, 0.006668, 0.022967,-2.592502,-0.123117, 0.0450, 0.3268, 0.4261,121678.7521
  -28.8418,   4.7563, -1.807, 0.705112, 0.006667, 0.022254,-2.582550,-0.124414, 0.0438, 0.3321, 0.4253,147715.6278
  -28.5435,   4.8098, -1.728, 0.715111, 0.006667, 0.021577,-2.567201,-0.125571, 0.0427, 0.3364, 0.4244,177676.2320
  -28.2361,   4.8649, -1.655, 0.724257, 0.006667, 0.020938,-2.547023,-0.126600, 0.0420, 0.3404, 0.4236,211900.7648
  -27.9198,   4.9216, -1.590, 0.732617, 0.006669, 0.020342,-2.522552,-0.127512, 0.0415, 0.3440, 0.4229,250731.8058
  -27.5951,   4.9799, -1.531, 0.740258, 0.006669, 0.019789,-2.494292,-0.128319, 0.0411, 0.3470, 0.4222,294512.0170
  -27.2624,   5.0396, -1.478, 0.747236, 0.006669, 0.019283,-2.462713,-0.129032, 0.0407, 0.3495, 0.4216,343581.7790
  -26.9220,   5.1006, -1.430, 0.753608, 0.006668, 0.018822,-2.428246,-0.129662, 0.0403, 0.3514, 0.4210,398276.7700
  -26.5745,   5.1630, -1.388, 0.759423, 0.006667, 0.018407,-2.391293,-0.130218, 0.0400, 0.3529, 0.4204,458925.4977
  -26.2201,   5.2266, -1.350, 0.764725, 0.006665, 0.018035,-2.352218,-0.130709, 0.0397, 0.3539, 0.4199,525846.7954
  -25.8594,   5.2913, -1.317, 0.769556, 0.006663, 0.017706,-2.311355,-0.131143, 0.0394, 0.3545, 0.4194,599347.2924
  -25.4927,   5.3570, -1.289, 0.773951, 0.006660, 0.017418,-2.269010,-0.131527, 0.0392, 0.3547, 0.4189,679718.8727
  -25.1206,   5.4238, -1.263, 0.777945, 0.006656, 0.017167,-2.225459,-0.131867, 0.0389, 0.3546, 0.4185,767236.1344
  -24.7435,   5.4915, -1.242, 0.781567, 0.006653, 0.016952,-2.180953,-0.132169, 0.0387, 0.3542, 0.4181,862153.8654
  -24.3618,   5.5599, -1.223, 0.784842, 0.006649, 0.016771,-2.135720,-0.132438, 0.0385, 0.3534, 0.4178,964704.5507
  -23.9760,   5.6291, -1.208, 0.787795, 0.006644, 0.016620,-2.089965,-0.132677, 0.0384, 0.3524, 0.4175,1075095.9279
  -23.5865,   5.6990, -1.195, 0.790448, 0.006641, 0.016497,-2.043875,-0.132892, 0.0382, 0.3507, 0.4172,1193508.6081
  -23.1940,   5.7694, -1.184, 0.792820, 0.006637, 0.016400,-1.997617,-0.133084, 0.0381, 0.3486, 0.4170,1320093.7802
  -22.7987,   5.8403, -1.176, 0.794928, 0.006634, 0.016326,-1.951344,-0.133258, 0.0380, 0.3462, 0.4168,1454971.0162
  -22.4013,   5.9116, -1.169, 0.796789, 0.006630, 0.016273,-1.905192,-0.133415, 0.0379, 0.3437, 0.4166,1598226.1966
  -22.0021,   5.9832, -1.164, 0.798417, 0.006626, 0.016239,-1.859284,-0.133558, 0.0378, 0.3410, 0.4164,1749909.5737
  -21.6018,   6.0550, -1.161, 0.799825, 0.006621, 0.016221,-1.813731,-0.133690, 0.0377, 0.3381, 0.4163,1910033.9905
  -21.2007,   6.1270, -1.159, 0.801026, 0.006617, 0.016218,-1.768630,-0.133811, 0.0376, 0.3351, 0.4162,2078573.2732
  -20.7993,   6.1990, -1.158, 0.802031, 0.006612, 0.016228,-1.724072,-0.133925, 0.0375, 0.3320, 0.4162,2255460.8141
  -20.3982,   6.2710, -1.159, 0.802851, 0.006608, 0.016248,-1.680134,-0.134031, 0.0374, 0.3287, 0.4162,2440588.3607
  -19.9979,   6.3428, -1.160, 0.803495, 0.006603, 0.016278,-1.636888,-0.134133, 0.0373, 0.3254, 0.4162,2633805.0249
  -19.5987,   6.4144, -1.162, 0.803974, 0.006598, 0.016314,-1.594396,-0.134230, 0.0372, 0.3219, 0.4162,2834916.5279
  -19.2013,   6.4857, -1.164, 0.804296, 0.006592, 0.016357,-1.552714,-0.134325, 0.0371, 0.3184, 0.4163,3043684.6909
  -18.8060,   6.5566, -1.167, 0.804470, 0.006587, 0.016404,-1.511890,-0.134419, 0.0371, 0.3148, 0.4164,3259827.1826
  -18.4135,   6.6270, -1.171, 0.804503, 0.006582, 0.016453,-1.471968,-0.134512, 0.0370, 0.3112, 0.4165,3483017.5330
  -18.0240,   6.6969, -1.174, 0.804405, 0.006576, 0.016503,-1.432984,-0.134607, 0.0370, 0.3075, 0.4166,3712885.4187
  -17.6382,   6.7661, -1.178, 0.804182, 0.006570, 0.016553,-1.394972,-0.134704, 0.0369, 0.3038, 0.4168,3949017.2255
  -17.2565,   6.8345, -1.182, 0.803843, 0.006565, 0.016601,-1.357960,-0.134804, 0.0369, 0.3001, 0.4170,4190956.8910
  -16.8794,   6.9022, -1.186, 0.803395, 0.006559, 0.016645,-1.321971,-0.134909, 0.0368, 0.2967, 0.4173,4438207.0262
  -16.5073,   6.9690, -1.190, 0.802844, 0.006556, 0.016685,-1.287027,-0.135021, 0.0368, 0.2947, 0.4175,4690230.3160
  -16.1406,   7.0347, -1.193, 0.802200, 0.006552, 0.016719,-1.253143,-0.135139, 0.0368, 0.2926, 0.4178,4946451.1934
  -15.7799,   7.0994, -1.196, 0.801468, 0.006548, 0.016745,-1.220334,-0.135265, 0.0368, 0.2904, 0.4181,5206257.7813
  -15.4255,   7.1630, -1.198, 0.800657, 0.006544, 0.016761,-1.188612,-0.135401, 0.0367, 0.2883, 0.4185,5469004.0932
  -15.0780,   7.2254, -1.200, 0.799774, 0.006540, 0.016766,-1.157984,-0.135548, 0.0367, 0.2861, 0.4189,5734012.4833
  -14.7376,   7.2864, -1.201, 0.798825, 0.006536, 0.016759,-1.128458,-0.135708, 0.0367, 0.2839, 0.4193,6000576.3304
  -14.4049,   7.3461, -1.201, 0.797820, 0.006533, 0.016737,-1.100037,-0.135880, 0.0367, 0.2817, 0.4197,6267962.9443
  -14.0802,   7.4044, -1.200, 0.796764, 0.006529, 0.016699,-1.072725,-0.136066, 0.0367, 0.2796, 0.4202,6535416.6754
  -13.7639,   7.4611, -1.197, 0.795667, 0.006525, 0.016643,-1.046522,-0.136267, 0.0367, 0.2774, 0.4207,6802162.2099
  -13.4565,   7.5162, -1.193, 0.794536, 0.006522, 0.016566,-1.021428,-0.136485, 0.0367, 0.2752, 0.4212,7067408.0318
  -13.1582,   7.5697, -1.188, 0.793378, 0.006518, 0.016466,-0.997441,-0.136719, 0.0366, 0.2730, 0.4218,7330350.0287
  -12.8695,   7.6215, -1.180, 0.792201, 0.006515, 0.016340,-0.974558,-0.136970, 0.0366, 0.2709, 0.4223,7590175.2195
  -12.5907,   7.6716, -1.171, 0.791015, 0.006512, 0.016185,-0.952775,-0.137238, 0.0366, 0.2687, 0.4229,7846065.5820
  -12.3222,   7.7197, -1.159, 0.789827, 0.006509, 0.015999,-0.932087,-0.137524, 0.0366, 0.2667, 0.4236,8097201.9536
  -12.0642,   7.7660, -1.145, 0.788645, 0.006506, 0.015777,-0.912489,-0.137827, 0.0366, 0.2647, 0.4242,8342767.9826
  -11.8171,   7.8103, -1.127, 0.787480, 0.006503, 0.015514,-0.893974,-0.138147, 0.0366, 0.2626, 0.4249,8581954.1041
  -11.5812,   7.8527, -1.106, 0.786338, 0.006501, 0.015207,-0.876537,-0.138484, 0.0366, 0.2605, 0.4256,8813961.5158
  -11.3568,   7.8929, -1.082, 0.785230, 0.006499, 0.014850,-0.860169,-0.138837, 0.0366, 0.2586, 0.4263,9038006.1276
  -11.1441,   7.9311, -1.053, 0.784165, 0.006497, 0.014436,-0.844865,-0.139205, 0.0366, 0.2568, 0.4270,9253322.4620
  -10.9434,   7.9671, -1.020, 0.783152, 0.006494, 0.013960,-0.830618,-0.139589, 0.0366, 0.2551, 0.4277,9459167.4798
  -10.7550,   8.0009, -0.981, 0.782201, 0.006492, 0.013411,-0.817422,-0.139987, 0.0366, 0.2535, 0.4285,9654824.3086
  -10.5790,   8.0324, -0.935, 0.781323, 0.006491, 0.012783,-0.805270,-0.140398, 0.0366, 0.2521, 0.4292,9839605.8505
  -10.4158,   8.0617, -0.884, 0.780528, 0.006489, 0.012065,-0.794157,-0.140822, 0.0366, 0.2508, 0.4299,10012858.2495
  -10.2655,   8.0887, -0.824, 0.779826, 0.006487, 0.011245,-0.784078,-0.141258, 0.0367, 0.2496, 0.4307,10173964.1965
  -10.1282,   8.1133, -0.756, 0.779229, 0.006486, 0.010311,-0.775026,-0.141704, 0.0367, 0.2485, 0.4314,10322346.0545
  -10.0042,   8.1356, -0.678, 0.778747, 0.006484, 0.009249,-0.766997,-0.142159, 0.0367, 0.2476, 0.4321,10457468.7876
   -9.8935,   8.1554, -0.589, 0.778393, 0.006483, 0.008047,-0.759985,-0.142621, 0.0366, 0.2468, 0.4328,10578842.6765
   -9.7965,   8.1728, -0.489, 0.778180, 0.006482, 0.006688,-0.753981,-0.143084, 0.0366, 0.2462, 0.4335,10686025.8098
   -9.7130,   8.1878, -0.376, 0.778121, 0.006481, 0.005159,-0.748974,-0.143544, 0.0366, 0.2458, 0.4341,10778626.3376
   -9.6433,   8.2003, -0.250, 0.778239, 0.006481, 0.003451,-0.744947,-0.143987, 0.0366, 0.2455, 0.4347,10856304.4791
   -9.5875,   8.2103, -0.109, 0.778582, 0.006481, 0.001563,-0.741870,-0.144395, 0.0366, 0.2455, 0.4352,10918774.2760
   -9.5455,   8.2178,  0.044, 0.779285, 0.006481,-0.000477,-0.739705,-0.144745, 0.0366, 0.2458, 0.4356,10965805.0840
   -9.5175,   8.2229,  0.199, 0.780984, 0.006482,-0.002482,-0.738411,-0.145019, 0.0365, 0.2468, 0.4359,10997222.7975
   -9.5035,   8.2254,  0.240, 0.791924, 0.006488,-0.002265,-0.737936,-0.145212, 0.0361, 0.2538, 0.4360,11012910.7976
   -9.4905,   8.2317,  0.101, 0.781835, 0.006482,-0.001592,-0.737225,-0.145293, 0.0365, 0.2471, 0.4365,11027697.1031
   -9.4525,   8.2546, -0.153, 0.780869, 0.006480, 0.002012,-0.733276,-0.145353, 0.0365, 0.2458, 0.4368,11070863.0569
   -9.3770,   8.3001, -0.441, 0.778974, 0.006477, 0.005944,-0.725441,-0.145373, 0.0365, 0.2434, 0.4373,11156701.1810
   -9.2647,   8.3676, -0.697, 0.776185, 0.006472, 0.009406,-0.713947,-0.145346, 0.0366, 0.2399, 0.4379,11284837.1120
   -9.1170,   8.4566, -0.920, 0.772529, 0.006465, 0.012379,-0.699139,-0.145290, 0.0366, 0.2354, 0.4387,11454689.6800
   -8.9354,   8.5659, -1.115, 0.768029, 0.006456, 0.014921,-0.681413,-0.145202, 0.0367, 0.2300, 0.4397,11665446.8210
   -8.7219,   8.6944, -1.287, 0.762721, 0.006445, 0.017104,-0.661209,-0.145071, 0.0368, 0.2239, 0.4409,11916034.8045
   -8.4788,   8.8408, -1.440, 0.756652, 0.006432, 0.018995,-0.639009,-0.144885, 0.0370, 0.2172, 0.4422,12205082.0540
   -8.2089,   9.0033, -1.579, 0.749886, 0.006416, 0.020650,-0.615311,-0.144640, 0.0371, 0.2103, 0.4436,12530879.3256
   -7.9150,   9.1802, -1.707, 0.742492, 0.006398, 0.022112,-0.590605,-0.144332, 0.0373, 0.2031, 0.4451,12891338.4878
   -7.6005,   9.3696, -1.827, 0.734548, 0.006380, 0.023413,-0.565355,-0.143963, 0.0376, 0.1973, 0.4468,13283952.5696
   -7.2686,   9.5693, -1.940, 0.726130, 0.006361, 0.024577,-0.539982,-0.143533, 0.0378, 0.1914, 0.4485,13705760.0764
   -6.9232,   9.7773, -2.047, 0.717314, 0.006342, 0.025617,-0.514857,-0.143043, 0.0381, 0.1856, 0.4502,14153316.7800
   -6.5679,   9.9912, -2.148, 0.708174, 0.006323, 0.026543,-0.490291,-0.142491, 0.0383, 0.1801, 0.4520,14622678.2288
   -6.2066,  10.2087, -2.244, 0.698779, 0.006304, 0.027359,-0.466539,-0.141875, 0.0386, 0.1745, 0.4539,15109396.0659
   -5.8434,  10.4273, -2.333, 0.689193, 0.006284, 0.028067,-0.443802,-0.141192, 0.0388, 0.1689, 0.4557,15608530.8727
   -5.4821,  10.6448, -2.417, 0.679478, 0.006264, 0.028661,-0.422229,-0.140434, 0.0390, 0.1634, 0.4576,16114683.6530
   -5.1268,  10.8587, -2.493, 0.669691, 0.006243, 0.029135,-0.401928,-0.139597, 0.0392, 0.1579, 0.4594,16622047.2733
   -4.7814,  11.0667, -2.559, 0.659887, 0.006223, 0.029477,-0.382970,-0.138675, 0.0394, 0.1525, 0.4611,17124478.1971
   -4.4495,  11.2664, -2.615, 0.650119, 0.006203, 0.029673,-0.365399,-0.137667, 0.0396, 0.1476, 0.4627,17615587.7666
   -4.1350,  11.4558, -2.658, 0.640442, 0.006185, 0.029715,-0.349236,-0.136574, 0.0397, 0.1434, 0.4642,18088851.1457
   -3.8411,  11.6327, -2.689, 0.630906, 0.006169, 0.029613,-0.334495,-0.135410, 0.0399, 0.1401, 0.4656,18537730.9372
   -3.5712,  11.7952, -2.712, 0.621557, 0.006155, 0.029434,-0.321179,-0.134192, 0.0401, 0.1367, 0.4669,18955811.4850
   -3.3281,  11.9416, -2.748, 0.612418, 0.006142, 0.029388,-0.309282,-0.132951, 0.0403, 0.1332, 0.4681,19336939.0682
   -3.1146,  12.0701, -2.859, 0.603445, 0.006130, 0.030138,-0.298774,-0.131715, 0.0405, 0.1297, 0.4693,19675362.6697
   -2.9330,  12.1794, -3.267, 0.594401, 0.006119, 0.033937,-0.289542,-0.130479, 0.0407, 0.1261, 0.4706,19965869.8456
   -2.7853,  12.2684, -4.664, 0.584316, 0.006109, 0.047733,-0.281023,-0.128981, 0.0410, 0.1223, 0.4719,20203912.3950
   -2.6730,  12.3359, -8.115, 0.569057, 0.006098, 0.081452,-0.270452,-0.125541, 0.0419, 0.1170, 0.4718,20385716.9095
   -2.5975,  12.3814,  8.189, 0.529723, 0.006075,-0.074250,-0.244646,-0.111743, 0.0443, 0.1048, 0.4622,20508376.6443
   -2.5595,  12.4043, 87.228, 0.349470, 0.005959,-7.239551,-0.117904,-0.030589, 0.0686, 0.0734, 0.3376,20569925.3726
   -1.9125,  12.4100, -2.448, 0.593750, 0.006109, 0.025379,-0.275740,-0.127705, 0.0406, 0.1241, 0.4649,21638549.4398
   -0.6375,  12.4100, -2.489, 0.602077, 0.006114, 0.026172,-0.277460,-0.127352, 0.0403, 0.1269, 0.4614,23862671.9909
    0.6375,  12.4100, -2.489, 0.602077, 0.006114, 0.026172,-0.277460,-0.127352, 0.0403, 0.1269, 0.4614,23870545.8493
    1.9125,  12.4100, -2.448, 0.593750, 0.006109, 0.025379,-0.275740,-0.127705, 0.0406, 0.1241, 0.4649,21646423.2983
    2.5595,  12.4043, 87.228, 0.349470, 0.005959,-7.239551,-0.117904,-0.030589, 0.0686, 0.0734, 0.3376,20577270.9274
    2.5975,  12.3814,  8.189, 0.529723, 0.006075,-0.074250,-0.244646,-0.111743, 0.0443, 0.1048, 0.4622,20514672.4005
    2.6730,  12.3359, -8.115, 0.569057, 0.006098, 0.081452,-0.270452,-0.125541, 0.0419, 0.1170, 0.4718,20390983.4232
    2.7853,  12.2684, -4.664, 0.584316, 0.006109, 0.047733,-0.281023,-0.128981, 0.0410, 0.1223, 0.4719,20208183.7753
    2.9330,  12.1794, -3.267, 0.594401, 0.006119, 0.033937,-0.289542,-0.130479, 0.0407, 0.1261, 0.4706,19969192.9609
    3.1146,  12.0701, -2.859, 0.603445, 0.006130, 0.030138,-0.298774,-0.131715, 0.0405, 0.1297, 0.4693,19677796.0905
    3.3281,  11.9416, -2.748, 0.612418, 0.006142, 0.029388,-0.309282,-0.132951, 0.0403, 0.1332, 0.4681,19338551.7859
    3.5712,  11.7952, -2.712, 0.621557, 0.006155, 0.029434,-0.321179,-0.134192, 0.0401, 0.1367, 0.4669,18956681.4334
    3.8411,  11.6327, -2.689, 0.630906, 0.006169, 0.029613,-0.334495,-0.135410, 0.0399, 0.1401, 0.4656,18537943.3614
    4.1350,  11.4558, -2.658, 0.640442, 0.006185, 0.029715,-0.349236,-0.136574, 0.0397, 0.1434, 0.4642,18088496.8705
    4.4495,  11.2664, -2.615, 0.650119, 0.006203, 0.029673,-0.365399,-0.137667, 0.0396, 0.1476, 0.4627,17614761.4222
    4.7814,  11.0667, -2.559, 0.659887, 0.006223, 0.029477,-0.382970,-0.138675, 0.0394, 0.1525, 0.4611,17123276.4602
    5.1268,  10.8587, -2.493, 0.669691, 0.006243, 0.029135,-0.401928,-0.139597, 0.0392, 0.1579, 0.4594,16620567.1769
    5.4821,  10.6448, -2.417, 0.679478, 0.006264, 0.028661,-0.422229,-0.140434, 0.0390, 0.1634, 0.4576,16113021.0162
    5.8434,  10.4273, -2.333, 0.689193, 0.006284, 0.028067,-0.443802,-0.141192, 0.0388, 0.1689, 0.4557,15606778.8889
    6.2066,  10.2087, -2.244, 0.698779, 0.006304, 0.027359,-0.466539,-0.141875, 0.0386, 0.1745, 0.4539,15107644.0821
    6.5679,   9.9912, -2.148, 0.708174, 0.006323, 0.026543,-0.490291,-0.142491, 0.0383, 0.1801, 0.4520,14621010.7356
    6.9232,   9.7773, -2.047, 0.717314, 0.006342, 0.025617,-0.514857,-0.143043, 0.0381, 0.1856, 0.4502,14151812.6217
    7.2686,   9.5693, -1.940, 0.726130, 0.006361, 0.024577,-0.539982,-0.143533, 0.0378, 0.1914, 0.4485,13704491.8792
    7.6005,   9.3696, -1.827, 0.734548, 0.006380, 0.023413,-0.565355,-0.143963, 0.0376, 0.1973, 0.4468,13282986.3779
    7.9150,   9.1802, -1.707, 0.742492, 0.006398, 0.022112,-0.590605,-0.144332, 0.0373, 0.2031, 0.4451,12890733.5874
    8.2089,   9.0033, -1.579, 0.749886, 0.006416, 0.020650,-0.615311,-0.144640, 0.0371, 0.2103, 0.4436,12530688.2299
    8.4788,   8.8408, -1.440, 0.756652, 0.006432, 0.018995,-0.639009,-0.144885, 0.0370, 0.2172, 0.4422,12205350.6219
    8.7219,   8.6944, -1.287, 0.762721, 0.006445, 0.017104,-0.661209,-0.145071, 0.0368, 0.2239, 0.4409,11916802.4570
    8.9354,   8.5659, -1.115, 0.768029, 0.006456, 0.014921,-0.681413,-0.145202, 0.0367, 0.2300, 0.4397,11666746.8240
    9.1170,   8.4566, -0.920, 0.772529, 0.006465, 0.012379,-0.699139,-0.145290, 0.0366, 0.2354, 0.4387,11456549.4609
    9.2647,   8.3676, -0.697, 0.776185, 0.006472, 0.009406,-0.713947,-0.145346, 0.0366, 0.2399, 0.4379,11287278.5797
    9.3770,   8.3001, -0.441, 0.778974, 0.006477, 0.005944,-0.725441,-0.145373, 0.0365, 0.2434, 0.4373,11159741.0245
    9.4525,   8.2546, -0.153, 0.780869, 0.006480, 0.002012,-0.733276,-0.145353, 0.0365, 0.2458, 0.4368,11074512.9999
    9.4905,   8.2317,  0.101, 0.781835, 0.006482,-0.001592,-0.737225,-0.145293, 0.0365, 0.2471, 0.4365,11031964.0983
    9.5035,   8.2254,  0.240, 0.791924, 0.006488,-0.002265,-0.737936,-0.145212, 0.0361, 0.2538, 0.4360,11017387.2693
    9.5175,   8.2229,  0.199, 0.780984, 0.006482,-0.002482,-0.738411,-0.145019, 0.0365, 0.2468, 0.4359,11001499.0605
    9.5455,   8.2178,  0.044, 0.779285, 0.006481,-0.000477,-0.739705,-0.144745, 0.0366, 0.2458, 0.4356,10969881.7159
    9.5875,   8.2103, -0.109, 0.778582, 0.006481, 0.001563,-0.741870,-0.144395, 0.0366, 0.2455, 0.4352,10922652.2427
    9.6433,   8.2003, -0.250, 0.778239, 0.006481, 0.003451,-0.744947,-0.143987, 0.0366, 0.2455, 0.4347,10859985.1353
    9.7130,   8.1878, -0.376, 0.778121, 0.006481, 0.005159,-0.748974,-0.143544, 0.0366, 0.2458, 0.4341,10782111.4249
    9.7965,   8.1728, -0.489, 0.778180, 0.006482, 0.006688,-0.753981,-0.143084, 0.0366, 0.2462, 0.4335,10689317.4529
    9.8935,   8.1554, -0.589, 0.778393, 0.006483, 0.008047,-0.759985,-0.142621, 0.0366, 0.2468, 0.4328,10581943.3762
   10.0042,   8.1356, -0.678, 0.778747, 0.006484, 0.009249,-0.766997,-0.142159, 0.0367, 0.2476, 0.4321,10460381.4122
   10.1282,   8.1133, -0.756, 0.779229, 0.006486, 0.010311,-0.775026,-0.141704, 0.0367, 0.2485, 0.4314,10325073.8288
   10.2655,   8.0887, -0.824, 0.779826, 0.006487, 0.011245,-0.784078,-0.141258, 0.0367, 0.2496, 0.4307,10176510.6888
   10.4158,   8.0617, -0.884, 0.780528, 0.006489, 0.012065,-0.794157,-0.140822, 0.0366, 0.2508, 0.4299,10015227.3572
   10.5790,   8.0324, -0.935, 0.781323, 0.006491, 0.012783,-0.805270,-0.140398, 0.0366, 0.2521, 0.4292,9841801.7832
   10.7550,   8.0009, -0.981, 0.782201, 0.006492, 0.013411,-0.817422,-0.139987, 0.0366, 0.2535, 0.4285,9656851.5707
   10.9434,   7.9671, -1.020, 0.783152, 0.006494, 0.013960,-0.830618,-0.139589, 0.0366, 0.2551, 0.4277,9461030.8511
   11.1441,   7.9311, -1.053, 0.784165, 0.006497, 0.014436,-0.844865,-0.139205, 0.0366, 0.2568, 0.4270,9255026.9769
