xflr5 v6.61

Main Aircraft
LoadCase1
QInf  =,  130.700000 ,m/s
Alpha = ,   7.500000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.908636
Cy    = ,   0.000000
Cd=,   0.029123,ICd=,    0.022406,PCd=,    0.006717
Cl   = ,3.92056e-14
Cm   =,      -1.084
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    9.921717, YCP=,   -0.000000, ZCP=,    1.032669 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006, -9.236, 0.114857, 0.006488, 0.016880,-0.362680,-0.012531, 0.2466, 0.0649, 0.4108, 0.0000
  -32.4825,   4.1031, -8.235, 0.139820, 0.006511, 0.019995,-0.620171,-0.021007, 0.2278, 0.0691, 0.4073, 0.4852
  -32.4545,   4.1082, -7.819, 0.193859, 0.006545, 0.026528,-0.891226,-0.029859, 0.1920, 0.0801, 0.4053, 4.9773
  -32.4125,   4.1157, -7.426, 0.249389, 0.006588, 0.032465,-1.155247,-0.038294, 0.1583, 0.0917, 0.4031,23.8979
  -32.3567,   4.1257, -7.022, 0.303771, 0.006640, 0.037403,-1.407378,-0.046150, 0.1308, 0.1039, 0.4008,78.3254
  -32.2870,   4.1382, -6.616, 0.356182, 0.006638, 0.041313,-1.645102,-0.053376, 0.1153, 0.1222, 0.3984,203.4017
  -32.2035,   4.1532, -6.217, 0.406249, 0.006667, 0.044263,-1.866889,-0.059971, 0.0987, 0.1401, 0.3960,451.3448
  -32.1065,   4.1706, -5.832, 0.453789, 0.006691, 0.046367,-2.071864,-0.065975, 0.0842, 0.1629, 0.3936,894.0370
  -31.9958,   4.1904, -5.468, 0.498730, 0.006684, 0.047759,-2.259632,-0.071447, 0.0744, 0.1956, 0.3914,1625.1779
  -31.8718,   4.2127, -5.128, 0.541066, 0.006686, 0.048573,-2.430141,-0.076457, 0.0670, 0.2271, 0.3895,2762.0070
  -31.7345,   4.2373, -4.814, 0.580834, 0.006691, 0.048931,-2.583588,-0.081077, 0.0604, 0.2566, 0.3877,4446.6087
  -31.5842,   4.2643, -4.525, 0.618094, 0.006689, 0.048935,-2.720337,-0.085370, 0.0553, 0.2873, 0.3863,6846.8144
  -31.4210,   4.2936, -4.261, 0.652922, 0.006688, 0.048667,-2.840862,-0.089387, 0.0506, 0.3155, 0.3850,10156.7172
