xflr5 v6.61

Main Aircraft
LoadCase1
QInf  =,  130.700000 ,m/s
Alpha = ,   8.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.945653
Cy    = ,   0.000000
Cd=,   0.031056,ICd=,    0.024280,PCd=,    0.006776
Cl   = ,4.08132e-14
Cm   =,    -1.12347
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    9.882147, YCP=,   -0.000000, ZCP=,    1.032974 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006, -9.452, 0.120685, 0.006494, 0.018350,-0.376036,-0.012114, 0.2423, 0.0659, 0.3997, 0.0000
  -32.4825,   4.1031, -8.422, 0.145343, 0.006517, 0.021307,-0.642869,-0.020277, 0.2237, 0.0701, 0.3962, 0.5099
  -32.4545,   4.1082, -8.003, 0.201259, 0.006549, 0.028219,-0.923910,-0.028818, 0.1873, 0.0817, 0.3943, 5.1906
  -32.4125,   4.1157, -7.609, 0.258865, 0.006599, 0.034553,-1.197878,-0.036966, 0.1533, 0.0937, 0.3922,24.8608
  -32.3567,   4.1257, -7.205, 0.315357, 0.006639, 0.039863,-1.459772,-0.044571, 0.1274, 0.1080, 0.3901,81.4018
  -32.2870,   4.1382, -6.799, 0.369870, 0.006640, 0.044107,-1.706985,-0.051587, 0.1112, 0.1271, 0.3879,211.3050
  -32.2035,   4.1532, -6.400, 0.422005, 0.006680, 0.047352,-1.937918,-0.058015, 0.0933, 0.1458, 0.3857,468.8172
  -32.1065,   4.1706, -6.015, 0.471566, 0.006689, 0.049710,-2.151629,-0.063896, 0.0804, 0.1760, 0.3837,928.6509
  -31.9958,   4.1904, -5.650, 0.518468, 0.006685, 0.051318,-2.347659,-0.069287, 0.0708, 0.2105, 0.3817,1688.2453
  -31.8718,   4.2127, -5.309, 0.562695, 0.006690, 0.052310,-2.525902,-0.074256, 0.0635, 0.2437, 0.3800,2869.5824
  -31.7345,   4.2373, -4.993, 0.604275, 0.006691, 0.052812,-2.686510,-0.078872, 0.0573, 0.2766, 0.3786,4620.5676
  -31.5842,   4.2643, -4.702, 0.643262, 0.006689, 0.052929,-2.829807,-0.083191, 0.0519, 0.3088, 0.3774,7115.9887
  -31.4210,   4.2936, -4.435, 0.679725, 0.006692, 0.052743,-2.956240,-0.087262, 0.0475, 0.3365, 0.3764,10558.0675
  -31.2450,   4.3251, -4.191, 0.713739, 0.006696, 0.052319,-3.066336,-0.091116, 0.0436, 0.3615, 0.3757,15176.6156
  -31.0566,   4.3589, -3.966, 0.745385, 0.006714, 0.051702,-3.160688,-0.094772, 0.0415, 0.3841, 0.3752,21228.8084
  -30.8559,   4.3949, -3.759, 0.774746, 0.006734, 0.050926,-3.239940,-0.098237, 0.0400, 0.4048, 0.3749,28998.5884
  -30.6432,   4.4331, -3.568, 0.801910, 0.006750, 0.050018,-3.304788,-0.101511, 0.0389, 0.4232, 0.3747,38795.7174
  -30.4188,   4.4733, -3.389, 0.826967, 0.006766, 0.048999,-3.355975,-0.104588, 0.0383, 0.4390, 0.3746,50954.4944
  -30.1829,   4.5157, -3.223, 0.850014, 0.006780, 0.047890,-3.394293,-0.107462, 0.0377, 0.4531, 0.3745,65832.1674
  -29.9358,   4.5600, -3.068, 0.871154, 0.006817, 0.046710,-3.420573,-0.110127, 0.0373, 0.4579, 0.3746,83807.0644
  -29.6778,   4.6063, -2.922, 0.890492, 0.006859, 0.045481,-3.435674,-0.112579, 0.0369, 0.4588, 0.3746,105276.4754
  -29.4093,   4.6544, -2.786, 0.908139, 0.006897, 0.044223,-3.440479,-0.114820, 0.0365, 0.4592, 0.3746,130654.3145
  -29.1305,   4.7045, -2.660, 0.924207, 0.006931, 0.042957,-3.435871,-0.116854, 0.0362, 0.4593, 0.3746,160368.5942
  -28.8418,   4.7563, -2.542, 0.938811, 0.006964, 0.041701,-3.422727,-0.118689, 0.0354, 0.4614, 0.3746,194858.7353
  -28.5435,   4.8098, -2.433, 0.952059, 0.006993, 0.040473,-3.401900,-0.120334, 0.0347, 0.4630, 0.3746,234572.7397
  -28.2361,   4.8649, -2.332, 0.964060, 0.007018, 0.039288,-3.374215,-0.121804, 0.0341, 0.4643, 0.3746,279964.2437
  -27.9198,   4.9216, -2.240, 0.974916, 0.007040, 0.038158,-3.340450,-0.123113, 0.0335, 0.4651, 0.3745,331489.4713
  -27.5951,   4.9799, -2.156, 0.984725, 0.007059, 0.037091,-3.301342,-0.124274, 0.0329, 0.4656, 0.3745,389604.1021
  -27.2624,   5.0396, -2.079, 0.993575, 0.007075, 0.036094,-3.257572,-0.125302, 0.0325, 0.4659, 0.3744,454760.0668
  -26.9220,   5.1006, -2.010, 1.001550, 0.007087, 0.035171,-3.209775,-0.126211, 0.0321, 0.4676, 0.3743,527402.2846
  -26.5745,   5.1630, -1.947, 1.008726, 0.007096, 0.034323,-3.158531,-0.127014, 0.0317, 0.4690, 0.3743,607965.3555
