xflr5 v6.61

Main Aircraft
LoadCase1
QInf  =,  130.700000 ,m/s
Alpha = ,   9.500000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.055979
Cy    = ,   0.000000
Cd=,   0.037289,ICd=,    0.030298,PCd=,    0.006991
Cl   = , 4.6049e-14
Cm   =,    -1.24075
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    9.782639, YCP=,   -0.000000, ZCP=,    1.034037 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -32.4965,   4.1006,-10.097, 0.138674, 0.006511, 0.023264,-0.415755,-0.010859, 0.2288, 0.0689, 0.3708, 0.0000
  -32.4825,   4.1031, -8.979, 0.161829, 0.006531, 0.025480,-0.710360,-0.018080, 0.2116, 0.0730, 0.3674, 0.5859
  -32.4545,   4.1082, -8.549, 0.223210, 0.006562, 0.033550,-1.021096,-0.025680, 0.1736, 0.0866, 0.3656, 5.8348
  -32.4125,   4.1157, -8.154, 0.286919, 0.006630, 0.041133,-1.324649,-0.032966, 0.1385, 0.0995, 0.3640,27.7424
  -32.3567,   4.1257, -7.750, 0.349636, 0.006640, 0.047619,-1.615579,-0.039816, 0.1173, 0.1200, 0.3624,90.5666
  -32.2870,   4.1382, -7.345, 0.410349, 0.006672, 0.052934,-1.891031,-0.046198, 0.0974, 0.1418, 0.3608,234.7927
  -32.2035,   4.1532, -6.946, 0.468593, 0.006691, 0.057131,-2.149184,-0.052123, 0.0811, 0.1742, 0.3593,520.6707
  -32.1065,   4.1706, -6.560, 0.524126, 0.006688, 0.060321,-2.388894,-0.057630, 0.0700, 0.2154, 0.3579,1031.2863
  -31.9958,   4.1904, -6.193, 0.576825, 0.006694, 0.062641,-2.609523,-0.062776, 0.0613, 0.2553, 0.3568,1875.1439
  -31.8718,   4.2127, -5.848, 0.626645, 0.006693, 0.064231,-2.810799,-0.067619, 0.0544, 0.2968, 0.3558,3188.2589
  -31.7345,   4.2373, -5.527, 0.673586, 0.006695, 0.065223,-2.992733,-0.072217, 0.0484, 0.3344, 0.3551,5135.7626
  -31.5842,   4.2643, -5.229, 0.717682, 0.006701, 0.065726,-3.155537,-0.076615, 0.0432, 0.3679, 0.3546,7913.0303
  -31.4210,   4.2936, -4.954, 0.758982, 0.006729, 0.065831,-3.299572,-0.080845, 0.0409, 0.3980, 0.3544,11746.3417
  -31.2450,   4.3251, -4.700, 0.797549, 0.006756, 0.065607,-3.425307,-0.084924, 0.0391, 0.4256, 0.3544,16893.0868
