alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,,,,,
-9.5,-0.7233,0.0068,0.00303,-0.0979,0.6366,0.02,-9.5,-0.6196,0.00677,0.00302,-0.1199,0.6235,0.0202,-10,-0.6453,0.00666,0.00293,-0.1153,0.6791,0.0202,-10,-0.7457,0.00676,0.00296,-0.0934,0.6697,0.02,,,,,
-9,-0.6577,0.0067,0.00285,-0.0993,0.593,0.02,-9,-0.5531,0.00666,0.00283,-0.1216,0.5857,0.0202,-9,-0.5206,0.00651,0.00262,-0.1188,0.594,0.0203,-9.5,-0.684,0.00664,0.00279,-0.095,0.6393,0.0201,,,,,
-8.5,-0.5921,0.00659,0.00267,-0.1007,0.5575,0.0201,-8.5,-0.487,0.00659,0.00267,-0.1233,0.5373,0.0203,-8.5,-0.4584,0.00648,0.00249,-0.1205,0.5407,0.0212,-9,-0.6223,0.00655,0.00264,-0.0965,0.5994,0.0201,,,,,
-8,-0.5264,0.00646,0.00251,-0.1021,0.5376,0.0202,-8,-0.4212,0.00656,0.00253,-0.125,0.4774,0.0233,-8,-0.3959,0.00645,0.00236,-0.1223,0.4817,0.0257,-8.5,-0.5605,0.00648,0.00249,-0.098,0.5615,0.0202,,,,,
-7.5,-0.4609,0.00633,0.00237,-0.1036,0.5196,0.0203,-7.5,-0.3546,0.00644,0.00237,-0.1268,0.4477,0.0269,-7.5,-0.3323,0.00631,0.0022,-0.1242,0.4525,0.0296,-8,-0.4984,0.00636,0.00235,-0.0995,0.5425,0.0203,,,,,
-7,-0.3956,0.00625,0.00224,-0.105,0.4875,0.0229,-7,-0.2878,0.00631,0.00221,-0.1287,0.416,0.0302,-7,-0.2697,0.00625,0.00209,-0.1259,0.419,0.0304,-7.5,-0.4363,0.00624,0.00222,-0.101,0.5262,0.0223,,,,,
-6.5,-0.3302,0.00617,0.0021,-0.1065,0.4492,0.027,-6.5,-0.2222,0.00623,0.00211,-0.1303,0.3992,0.0318,-6,-0.1439,0.00608,0.00189,-0.1292,0.3781,0.0398,-7,-0.3742,0.00618,0.00211,-0.1025,0.4918,0.0251,,,,,
-6,-0.2653,0.0062,0.00198,-0.108,0.3617,0.0303,-5,-0.0283,0.00639,0.00189,-0.1347,0.1987,0.0403,-5,-0.0219,0.00638,0.00181,-0.1316,0.199,0.0404,-6,-0.2499,0.00615,0.00188,-0.1055,0.3647,0.0353,,,,,
-5.5,-0.1997,0.00612,0.00186,-0.1095,0.3238,0.0398,-4.5,0.0359,0.00642,0.00185,-0.1359,0.1646,0.0409,-4,0.1017,0.00642,0.00175,-0.1341,0.1402,0.0478,-5.5,-0.1875,0.00609,0.00178,-0.107,0.3269,0.0401,,,,,
-4,-0.0068,0.00617,0.00169,-0.1133,0.1966,0.05,-4,0.1003,0.00643,0.00181,-0.1373,0.1389,0.0459,-3.5,0.1642,0.00638,0.00171,-0.1356,0.126,0.0588,-5,-0.1257,0.00607,0.00172,-0.1082,0.298,0.0442,,,,,9
-3.5,0.0568,0.00624,0.00167,-0.1144,0.1492,0.0504,-3.5,0.1649,0.00642,0.00179,-0.1386,0.1212,0.0523,-3,0.2261,0.0064,0.0017,-0.1368,0.1012,0.0698,-4.5,-0.064,0.00614,0.00166,-0.1095,0.2284,0.0496,,,,,
-3,0.1207,0.00625,0.00165,-0.1155,0.134,0.0548,-3,0.2297,0.00641,0.00176,-0.1401,0.0983,0.0681,-2,0.3496,0.00643,0.00171,-0.1392,0.0746,0.0977,-3.5,0.0586,0.00625,0.00161,-0.1117,0.1505,0.0511,,,,,
-2.5,0.1847,0.00625,0.00163,-0.1167,0.1181,0.0602,-2.5,0.2947,0.00637,0.00175,-0.1415,0.089,0.0897,-1.5,0.411,0.00649,0.00174,-0.1403,0.0551,0.1173,-3,0.1201,0.00624,0.00159,-0.1128,0.1381,0.0565,,,,,
-2,0.249,0.00625,0.00162,-0.1179,0.0984,0.0785,-2,0.358,0.00645,0.00177,-0.1425,0.0721,0.0952,-1,0.4726,0.00652,0.00178,-0.1414,0.0463,0.1398,-2.5,0.1819,0.00624,0.00157,-0.114,0.119,0.0665,,,,,
-0.5,0.4407,0.00635,0.00171,-0.1212,0.0493,0.1454,-0.5,0.5489,0.00659,0.0019,-0.1457,0.0407,0.1472,0,0.5946,0.0066,0.00188,-0.1433,0.0394,0.1763,-2,0.2435,0.00626,0.00157,-0.1151,0.0992,0.0793,,,,,
0,0.5043,0.00639,0.00176,-0.1222,0.0452,0.1694,0,0.6125,0.00662,0.00195,-0.1466,0.0394,0.1702,0.5,0.6573,0.00654,0.00192,-0.1447,0.0393,0.2408,-1,0.367,0.00631,0.00161,-0.1174,0.0582,0.1303,,,,,
1,0.6317,0.00644,0.00188,-0.1241,0.0394,0.2295,1,0.7432,0.00652,0.00207,-0.1494,0.0391,0.3096,1,0.7202,0.00647,0.00198,-0.1461,0.0392,0.3189,-0.5,0.4282,0.00635,0.00165,-0.1184,0.0496,0.1485,,,,,
1.5,0.6962,0.00641,0.00195,-0.1252,0.0392,0.2908,1.5,0.8077,0.00651,0.00215,-0.1505,0.0388,0.369,1.5,0.7818,0.00647,0.00206,-0.1472,0.0389,0.3737,0,0.4894,0.00637,0.00169,-0.1193,0.047,0.1734,,,,,
2,0.7604,0.00641,0.00203,-0.1262,0.0387,0.3473,2,0.87,0.00665,0.00229,-0.151,0.034,0.394,2,0.8419,0.00654,0.00215,-0.1479,0.0384,0.3989,1,0.6117,0.00643,0.00181,-0.1212,0.0395,0.2307,,,,,
2.5,0.8231,0.00656,0.00219,-0.1268,0.0289,0.3817,2.5,0.9316,0.00684,0.00246,-0.1513,0.0268,0.4112,2.5,0.901,0.00673,0.0023,-0.1483,0.029,0.4182,1.5,0.6738,0.00639,0.00187,-0.1224,0.0393,0.2951,,,,,
3,0.8876,0.00659,0.00234,-0.1279,0.0243,0.4697,3,0.9932,0.00701,0.00262,-0.1515,0.0229,0.4285,3,0.9597,0.00692,0.00247,-0.1487,0.0252,0.4353,2.5,0.7956,0.00649,0.00207,-0.1242,0.0327,0.3884,,,,,
4,1.012,0.00688,0.00263,-0.1284,0.0197,0.5104,4,1.1186,0.00723,0.00292,-0.1523,0.0195,0.5136,3.5,1.0189,0.00705,0.00261,-0.1491,0.0222,0.4628,3,0.8574,0.00651,0.0022,-0.1254,0.0264,0.4763,,,,,
4.5,1.0736,0.00705,0.00279,-0.1285,0.0196,0.5177,4.5,1.1804,0.00738,0.0031,-0.1524,0.0194,0.54,4,1.0791,0.00712,0.00274,-0.1499,0.0196,0.5206,3.5,0.9168,0.00665,0.00234,-0.1259,0.0234,0.4996,,,,,
5,1.1352,0.00723,0.00297,-0.1285,0.0195,0.5279,5,1.2417,0.00756,0.00329,-0.1522,0.0193,0.5567,4.5,1.1376,0.00726,0.0029,-0.1502,0.0195,0.5432,4,0.9757,0.0068,0.00248,-0.1263,0.0209,0.5121,,,,,
5.5,1.197,0.00741,0.00316,-0.1284,0.0194,0.5474,5.5,1.3026,0.00776,0.00349,-0.1519,0.0193,0.5691,5,1.1957,0.00742,0.00307,-0.1504,0.0194,0.5593,4.5,1.0344,0.00696,0.00262,-0.1266,0.0197,0.5198,,,,,
